id,query,gui_index_1,gui_index_2,gui_index_3,gui_index_4,gui_index_5,gui_index_6,gui_index_7,gui_index_8,gui_index_9,gui_index_10,gui_index_11,gui_index_12,gui_index_13,gui_index_14,gui_index_15
72,app for football team players overview with videos,56081,55443,10428,8192,17875,31510,43109,17868,39075,23636,46190,7593,19104,31521,5419
259,Call logs with no history,61891,63860,9529,47924,35058,7687,43079,8629,128,47922,18956,28508,26486,56686,58976
297,page contain the searchbar for song,54782,60646,27043,47193,30636,23291,27050,30629,23295,54772,23055,14458,27048,30628,27065
392,expandable side menu,71643,13142,39596,24722,18291,39600,49304,59930,39603,55728,59605,8684,20869,20872,68962
142,Good restaurants for Valentine's day,31902,52604,3767,3885,58891,42038,7895,51771,39828,7882,47583,39820,7872,3769,39822
253,Events estimation,17006,8826,17198,47501,59822,53767,15694,30084,15945,15691,15685,47566,48178,35975,66433
39,French appl for traffic stations,37488,61688,44885,69619,69620,28202,39348,39461,56942,39338,29441,21426,3188,15987,37790
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class",54548,39809,54865,2208,18835,3040,9717,18828,9716,19324,67237,14902,60736,67245,14899
101,photo preview app with zoomIn zoomOut options,36316,18796,22591,31047,18799,19983,36321,51574,35897,31109,39331,31678,58189,63481,19988
176,List Item with Tab Color,33037,52235,72139,1190,1201,65510,55357,15176,72138,42872,34177,72143,1192,47175,65514
309,"search bar with list of  connecters name ,favorites and all",62466,48971,63828,54034,22334,63826,3618,69275,6507,30305,69257,67578,64899,48968,19113
439,login screen,16241,14615,29481,35225,26827,47741,140,50487,71940,22542,21042,65903,15939,38655,1552
53,"test article, options",39287,9967,1845,67984,42291,45392,59466,61125,45399,36171,41495,36173,10809,48573,21732
396,Womens sexual healthcare,60221,16987,57463,4529,37986,56294,2849,39758,30096,34226,34420,4312,12925,36956,19798
99,Sign-in with Facebook data in which name or email address included,34571,63986,58477,45308,66551,55571,12893,44144,45119,36900,37145,8660,12896,12171,64586
