id,query,gui_index_1,gui_index_2,gui_index_3,gui_index_4,gui_index_5,gui_index_6,gui_index_7,gui_index_8,gui_index_9,gui_index_10,gui_index_11,gui_index_12,gui_index_13,gui_index_14,gui_index_15
72,app for football team players overview with videos,5478,46169,40209,7230,39069,56086,40212,6798,43131,7234,46193,8522,40792,55442,55542
259,Call logs with no history,46731,48375,62527,16135,32378,58722,41874,65325,65809,30594,8628,69023,41881,8627,26653
297,page contain the searchbar for song,64908,20119,70393,55480,27042,14448,55483,13677,14454,71951,13682,68996,54774,60642,32097
392,expandable side menu,6565,57646,22727,22725,55726,5803,30834,20873,58148,4853,61704,69142,24072,55729,58146
142,Good restaurants for Valentine's day,60496,60490,3771,3764,56678,42034,31899,60489,48955,60493,24554,48948,20765,43530,42039
253,Events estimation,45130,64803,26736,64948,26737,58890,40427,57891,20149,15068,46802,48531,44201,29658,47575
39,French appl for traffic stations,10002,43463,15997,69629,57564,62238,39334,69615,34532,69626,31157,29439,22138,31144,7050
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class",387,10978,28796,36207,66998,57686,57685,47972,15367,49683,7008,9718,36091,67241,9740
101,photo preview app with zoomIn zoomOut options,39626,36024,14760,34913,49337,29467,69708,5847,18795,13306,20273,49456,20057,20276,22596
176,List Item with Tab Color,67394,6671,64210,26169,62343,64203,50983,60064,18240,57157,57155,65513,69720,1195,1959
309,"search bar with list of  connecters name ,favorites and all",43096,48966,3615,23445,48964,5233,56670,48970,59414,22611,48965,9978,14439,48972,9970
439,login screen,49706,18830,69548,6309,3758,141,6364,52932,20071,31776,59208,42005,30102,18832,39998
53,"test article, options",46234,279,1562,16502,37326,48907,16503,37324,1558,2850,5744,45400,2856,9959,1841
396,Womens sexual healthcare,22864,3526,23926,55275,23923,42342,36955,11980,10868,60213,59078,3976,60240,60471,62129
99,Sign-in with Facebook data in which name or email address included,36127,58933,29607,33548,58921,50091,42162,34029,53687,45305,34017,55575,45298,7140,38578
314,old facebook sign up page,50769,63504,47884,25306,15869,26268,69499,44308,45552,9259,49403,45557,69516,20811,45555
285,Text insert with keyboard,33506,40907,32634,32633,17543,53720,19767,40917,54504,27553,30925,53721,40558,43040,51162
154,Settings with regionbnews,49255,9236,9231,48984,58835,1380,33395,1354,13555,36132,23768,51265,39378,41183,9222
134,start screen,39774,3758,60573,45674,52932,28368,64142,22520,35798,26827,43943,54359,17743,47317,6686
353,Search icon with Menu and Chat Icon and advertisement,30371,4704,6210,62683,71915,16050,28421,15657,58968,36557,39687,16047,18160,8558,10164
82,sign up with email,31541,23275,47884,26268,28252,20107,25306,18963,35995,24155,65962,20432,34571,36857,40122
109,sign up with welcome Bonus,34735,66116,53432,46962,63918,53421,34729,21435,36003,36001,34739,34716,53258,63920,41205
16,It display the Map with search bar,61599,65263,52816,25192,49178,25788,25181,32239,60991,58552,32246,46881,7084,43743,60544
115,page contaion the current and saved location,58357,52470,30041,51326,49097,65207,65199,21684,70406,64982,67073,70417,56462,27469,64992
295,Details about cards and numbers,43707,3813,3769,7949,46272,58203,28958,23855,31170,28128,69647,62634,22557,46278,63748
65,App for jokes and funny image posting,53353,19736,49054,53352,22469,28424,29408,22465,28425,6579,22468,50890,29410,19735,56286
5,screen with select single answer,37856,30052,66898,62431,30051,66894,20786,30058,68953,52811,9961,47588,20787,2920,68951
379,terms of chocoapp,45906,4060,10815,56918,7934,31617,17538,17719,8548,27108,68263,42708,42343,15303,23699
234,a sreen to enter the personal details,27474,7033,49365,57264,20780,2783,20785,31142,32392,36539,58129,15665,66701,32505,23654
3,Price comparison application showing discounts and chash back,6928,60875,59094,46610,53767,34863,7331,61750,51615,7334,61758,49676,56556,61757,64451
237,Account creation with selection menu,23798,12179,1765,13200,23797,6792,45925,7146,45730,58885,40253,40250,33127,10221,17225
18,alarm,35918,70077,70076,37140,7397,20279,4399,66744,1869,1877,39501,61405,1199,56055,61409
84,RN Mentor Quiz,54284,54288,54287,59399,54290,53108,25017,54283,27630,45692,54282,27612,25019,54289,60684
318,In car USB connection with eService and UVO,19566,16458,16457,21114,62293,62519,598,18245,62451,48291,18263,11854,8470,18246,11855
144,List of blocked accounts and contacts,35058,63860,44155,44157,27392,66872,35577,3444,43092,63748,44158,43096,31533,44159,48833
154,menu to choose between different options for organising ebooks,5231,26308,19705,67678,5517,70981,70982,3908,70976,39934,47521,50835,32557,1250,2274
413,adjust actions in the settings,41466,65783,22351,32842,549,11371,35185,43382,47571,21592,62611,49765,50593,41138,16642
159,Country code listing,7300,7952,67583,67579,7953,64212,63633,2967,37446,4238,15952,69273,4243,1777,69254
94,sign up for baby care,52122,41640,37210,37230,57489,37219,57488,37815,5912,41630,69353,27073,36673,37819,27081
141,Searching Engine with search bar for phrases starting with How to,26423,24786,18252,65470,12968,55433,2703,40970,18256,38326,6371,55690,10600,18251,31781
81,search location,52330,50622,28541,50635,28268,12142,2703,4176,9133,9137,9136,55489,17101,9139,28757
316,list with favorite button and Ads bar,21912,17489,19113,61167,2276,63601,33,55581,63599,35,447,12865,2026,12008,61236
95,weather and forecasting app with weather station selection,56692,52328,19805,50636,56701,29502,66455,17333,37011,22854,19233,68875,66586,6636,41747
