id,query,gui_index,WorkerId
72,app for football team players overview with videos,5478,A1CLIAQI9N8YOJ
259,Call logs with no history,46731,ASL3NA8PT15JU
297,page contain the searchbar for song,64908,A2TXLKAOJJ9BEK
392,expandable side menu,6565,A1FV1XP2UU0EVH
142,Good restaurants for Valentine's day,60496,A218PYL0KI07IO
253,Events estimation,45130,AVRMXTZHUCXXL
39,French appl for traffic stations,10002,A1CLIAQI9N8YOJ
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class",387,ABOC5IITA7DV1
101,photo preview app with zoomIn zoomOut options,39626,A32ATJF7ZENBWH
176,List Item with Tab Color,67394,A1QOJGSZEZXSE1
309,"search bar with list of  connecters name ,favorites and all",43096,AFWYEWB3W0ZSB
439,login screen,49706,A1FV1XP2UU0EVH
53,"test article, options",46234,A8BH4CXKWP6PW
396,Womens sexual healthcare,22864,ASL3NA8PT15JU
99,Sign-in with Facebook data in which name or email address included,36127,A1P9OU1YPIQVW7
314,old facebook sign up page,50769,A1UOWWUH9WVUOH
285,Text insert with keyboard,33506,A12EE9K9VY7XXF
154,Settings with regionbnews,49255,A13HTFAO25P3U4
134,start screen,39774,A27GOFWHEHV758
353,Search icon with Menu and Chat Icon and advertisement,30371,A1QOJGSZEZXSE1
82,sign up with email,31541,A8BH4CXKWP6PW
109,sign up with welcome Bonus,34735,A32ATJF7ZENBWH
16,It display the Map with search bar,61599,A2TXLKAOJJ9BEK
115,page contaion the current and saved location,58357,A2TXLKAOJJ9BEK
295,Details about cards and numbers,43707,A3BXLWKSBUO002
65,App for jokes and funny image posting,53353,A13HTFAO25P3U4
5,screen with select single answer,37856,A3HN5JOPRIKMNU
379,terms of chocoapp,45906,A2TXLKAOJJ9BEK
234,a sreen to enter the personal details,27474,ABREXWFU9D3WR
3,Price comparison application showing discounts and chash back,6928,A26BOJ0O91EIBR
237,Account creation with selection menu,23798,AFWYEWB3W0ZSB
18,alarm,35918,A3CR6XU8373Z2N
84,RN Mentor Quiz,54284,AE2M19TCQJWI
318,In car USB connection with eService and UVO,19566,A26BOJ0O91EIBR
144,List of blocked accounts and contacts,35058,AE2M19TCQJWI
154,menu to choose between different options for organising ebooks,5231,A3CP44KT0KLT69
413,adjust actions in the settings,41466,A1NFUUQF4T9KXM
159,Country code listing,7300,A13HTFAO25P3U4
94,sign up for baby care,52122,A23IXWZNWDLTNT
141,Searching Engine with search bar for phrases starting with How to,26423,A26BOJ0O91EIBR
81,search location,52330,AFWTKS209SFQY
316,list with favorite button and Ads bar,21912,A3CUDF4JR3QTS4
95,weather and forecasting app with weather station selection,56692,A1CLIAQI9N8YOJ
140,video editor,18234,A3CUDF4JR3QTS4
229,"buy item, image recorder, ads",40061,A8BH4CXKWP6PW
80,web advertising for an app with continue and skip button,1942,A11B0Q26E3U79M
189,Collapsible and Expandable List with Navigation bar and Fix Header,3183,A1QOJGSZEZXSE1
275,Mobile Bible Reader Application,12789,AE2M19TCQJWI
333,Japanese anime books and ads,50541,A1V8T0ZHN29U5H
427,food and restaurants list,66329,A1V8T0ZHN29U5H
372,downloading the image with brief dscription,68091,A3NDKVYPTBWPEO
8,top world news,5167,A23IXWZNWDLTNT
81,Model Selection,4616,AE2M19TCQJWI
366,Search with search results,52196,A34Z73OAWYW014
246,Settings menu,1217,A1FV1XP2UU0EVH
59,selecting different devices,39281,A3CR6XU8373Z2N
57,Microsoft corp with stock,30461,A13HTFAO25P3U4
112,latest keypad themes,21480,A6KII16FVGPFF
233,PitchLab,27641,A1250SSIMRQ3JA
241,feedback bar in PayNearMe,53870,A1UOWWUH9WVUOH
150,"search bar with results in Science, Textbook Solutions and Online Tuition",42111,A32ATJF7ZENBWH
76,cheese,64438,A20EIK9C477PTC
298,cell phone storage structure,62027,A23IXWZNWDLTNT
248,"book reader with ""Become a Member"" button",40696,A3CUDF4JR3QTS4
123,weather application screen's side menu,51829,A3HN5JOPRIKMNU
130,Trivago-Threats of pandemic and climate change an 'opportunity' to enhance local travel,33084,A3TTSFVAJHM947
110,podcast episode screen with download option,47138,A3HN5JOPRIKMNU
33,information description with login button,13352,A1WH1CTOZHV7YR
227,Menu for a music player app with ten different buttons,71867,A11B0Q26E3U79M
349,select which sports news to appear,18949,ASL3NA8PT15JU
51,"search bar with shopping categories, discount advertisement and account maintenance",833,AFWTKS209SFQY
64,News with detail,39546,A34Z73OAWYW014
4,learn english easily,23185,A23IXWZNWDLTNT
12,Dropdown options in ascending order,71586,A3HN5JOPRIKMNU
42,find your life partner,24661,A23IXWZNWDLTNT
161,how can i find the best personal servises,56562,A6KII16FVGPFF
296,photography filter,8879,A2KNN0T650FQ01
146,privacy policy aceptacion,2076,A27GOFWHEHV758
6,Main screen,68694,A1FV1XP2UU0EVH
443,FAQ YapStone support search button and missing site message,36059,A3G2CWQ5OV8AHE
341,location map window with search bar,25717,A3CUDF4JR3QTS4
279,Image editing,24881,AFWTKS209SFQY
388,JO-ANN GUI interface,46803,A23IXWZNWDLTNT
155,Advert for weather reporting,43850,A1NW9UWTFS14S5
246,Settings for network usuage-bahaviour-history,19860,A3TTSFVAJHM947
373,camera purchase reviews for beginners,8601,A8PRJZR3J6UTF
3,list of data with image and details,25117,A2G11CAPXX5616
305,search bar with various categories of GIFs,57835,AFWTKS209SFQY
441,search for works in  a map,39682,A1UOWWUH9WVUOH
31,search bar with  list of application with its image,61954,AFWYEWB3W0ZSB
65,blood glucose tracker side bar,47499,A1V8T0ZHN29U5H
48,Post results with postings,29061,A34Z73OAWYW014
41,sharing hair care tips through various mediums,71288,A1UOWWUH9WVUOH
198,Close Button and Image Grid with Image card and Plus Icon overlay,41568,A1QOJGSZEZXSE1
137,"Setting of notification with label, time, when and days",22867,A36COHZCHGHYD3
224,veggie medley salad recipe with nutrition and serving information,70042,AFWTKS209SFQY
450,four tabs with calander,15688,A3CUDF4JR3QTS4
190,Registration for the services,11918,A3IP4RARMM3X4A
215,share prompt  for a fitness app,53967,A1UOWWUH9WVUOH
317,"Filter settings for choosing price range, number of beds and baths",42503,A3CP44KT0KLT69
9,learning app,28141,A2KNN0T650FQ01
150,table with information about controls on foot,60323,A1NW9UWTFS14S5
141,Weather app,36651,A1250SSIMRQ3JA
149,loading page of happy hours,26963,A2TXLKAOJJ9BEK
379,search bar with result list showing song preview image and name,67905,AFWYEWB3W0ZSB
265,Tennis championships players ranking,43130,A1CLIAQI9N8YOJ
86,blood test with data entry and unit selection,25151,A1WH1CTOZHV7YR
321,bloomberg,49462,A20EIK9C477PTC
46,Translation with results,16357,A34Z73OAWYW014
249,search bar with add a favorite,30002,A1R6ELRI4GR9XF
270,Music Album,4973,A1JBSNWSI7VKQO
76,"feedback request, whether you like it, with options yes or feedback and emojis",4707,A3G2CWQ5OV8AHE
67,Travel with ease with tracking,7899,ASL3NA8PT15JU
213,search page of dolphin.com,7152,A2TXLKAOJJ9BEK
15,prompt to add a suite to  Wishlist,18297,A1UOWWUH9WVUOH
380,home page of dictionary with word of day,16110,A2TXLKAOJJ9BEK
18,unknown album playlist,39515,AFWTKS209SFQY
288,maternity scheduler with timetable,14230,A1UOWWUH9WVUOH
240,map display the error of voice recognization,9246,A2TXLKAOJJ9BEK
6,how can i change this settings,52964,A6KII16FVGPFF
307,Search bar with a text and a page showing no results,67718,ABOC5IITA7DV1
304,shopping list app,922,A2KNN0T650FQ01
23,Information screen to add a tabatas in a tabatas list app,49331,A11B0Q26E3U79M
245,"login screen, landing page",879,A1FV1XP2UU0EVH
18,UI for reminder notes,4413,A2G11CAPXX5616
287,e-commerce for online selling and buying,70937,A1NW9UWTFS14S5
375,Options menu,34240,A1NW9UWTFS14S5
89,Card with image and text with link button,51118,A1QOJGSZEZXSE1
252,reader's view of an article of Time,50666,AV5170KNIBKL6
338,sign up page for a dating application,23576,A1UOWWUH9WVUOH
135,Forum app to meet people and join discussions,70594,A1CLIAQI9N8YOJ
283,"News with result list showing items such as Bitcoin Magazine, CoinDesk",34473,A3T1ZTIWDIOXMX
411,countdown timer with a list of options,57318,A3CUDF4JR3QTS4
105,select location,69822,A1FV1XP2UU0EVH
104,search job locations in desired place,38323,AFWTKS209SFQY
127,dropdown for country and text box for contact number with number only keyboard,33194,A1QOJGSZEZXSE1
151,Weekday digest for meal planning,6044,A1NW9UWTFS14S5
144,T20 Cricket Live Chat,61947,AE2M19TCQJWI
242,2D graph with a point and its dimensions,61057,A1UOWWUH9WVUOH
60,sharing files service,53377,A23IXWZNWDLTNT
