Input.id,Input.query,annotations_list,gui_indexes_list,relevance,occurances
1,application submission screen for successfully submitted application,"[(1, 0, 0), (1, 0, 1), (0, 0, 0), (1, 0, 1), (0, 0, 0), (0, 0, 0), (1, 0, 1), (0, 0, 0), (0, 0, 0), (1, 0, 1), (1, 0, 1), (0, 0, 0), (0, 0, 1), (1, 0, 1), (0, 0, 0), (1, 0, 1), (2, 0, 1), (2, 0, 0), (2, 0, 0), (1, 0, 0), (2, 0, 0), (0, 0, 0), (2, 0, 0), (2, 0, 0), (1, 1, 0), (2, 0, 0), (1, 0, 0), (1, 1, 0), (1, 0, 0), (1, 0, 0)]","[53044, 30983, 19857, 3384, 44087, 19858, 42944, 24697, 51615, 42954, 17348, 61377, 19226, 65388, 68456, 19228, 71687, 51503, 19231, 31080, 51511, 58170, 51523, 67493, 22967, 6243, 17331, 17346, 57615, 7722]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[[2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [1, 1, 1], [2, 0, 1], [2, 0, 1], [2, 1, 0], [2, 0, 1], [3, 0, 0], [2, 0, 1], [2, 0, 1], [1, 2, 0], [2, 0, 1], [2, 1, 0], [1, 2, 0], [2, 1, 0], [2, 1, 0]]"
2,"search bar with links ,articles and personal option","[(2, 1, 0), (0, 0, 1), (0, 0, 2), (0, 0, 0), (1, 2, 2), (0, 0, 1), (1, 1, 2), (0, 0, 1), (0, 0, 1), (1, 0, 1), (0, 0, 2), (0, 0, 2), (0, 1, 1), (0, 1, 1), (0, 2, 1), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 2), (0, 0, 0), (2, 1, 1), (0, 0, 2), (0, 0, 0), (2, 1, 0), (0, 0, 2), (0, 0, 0), (0, 0, 1), (0, 0, 2)]","[9370, 41680, 19704, 40780, 8211, 19707, 2856, 8213, 34569, 2850, 49872, 67673, 2219, 45644, 49365, 60516, 54752, 2783, 19859, 39160, 49336, 22059, 9368, 49332, 22381, 9369, 49344, 50563, 12664, 49338]","[3, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]","[[1, 1, 1], [2, 1, 0], [2, 0, 1], [3, 0, 0], [0, 1, 2], [2, 1, 0], [0, 2, 1], [2, 1, 0], [2, 1, 0], [1, 2, 0], [2, 0, 1], [2, 0, 1], [1, 2, 0], [1, 2, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 0, 1], [3, 0, 0], [0, 2, 1], [2, 0, 1], [3, 0, 0], [1, 1, 1], [2, 0, 1], [3, 0, 0], [2, 1, 0], [2, 0, 1]]"
3,home appliances,"[(1, 1, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 1), (0, 0, 0), (0, 1, 1), (2, 1, 1), (1, 0, 0), (0, 1, 0), (2, 1, 1), (0, 0, 0), (2, 2, 2), (2, 1, 2), (0, 0, 0), (2, 0, 0), (2, 1, 2), (0, 0, 0), (0, 0, 1), (2, 1, 2), (0, 0, 0), (0, 0, 0), (2, 1, 2), (0, 0, 0), (1, 1, 2), (0, 0, 0), (0, 0, 1), (0, 1, 2), (1, 0, 0), (2, 2, 1)]","[53473, 30791, 1085, 68770, 48073, 1087, 52944, 9286, 67153, 51323, 9281, 17689, 3784, 71129, 66317, 30793, 25966, 66313, 59601, 25962, 66310, 23920, 40668, 58913, 8599, 9285, 66314, 8593, 13575, 28271]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 3, 0, 2]","[[1, 2, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [0, 2, 1], [2, 1, 0], [2, 1, 0], [0, 2, 1], [3, 0, 0], [0, 0, 3], [0, 1, 2], [3, 0, 0], [2, 0, 1], [0, 1, 2], [3, 0, 0], [2, 1, 0], [0, 1, 2], [3, 0, 0], [3, 0, 0], [0, 1, 2], [3, 0, 0], [0, 2, 1], [3, 0, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [0, 1, 2]]"
5,Selection of Doctor's Specialization,"[(2, 2, 2), (1, 1, 1), (1, 1, 1), (1, 1, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (2, 2, 2), (1, 0, 0), (0, 0, 0), (1, 0, 1), (1, 0, 0), (0, 0, 0), (2, 2, 1), (0, 0, 0), (0, 0, 0), (2, 2, 1), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[34401, 24069, 24079, 2847, 65902, 65898, 24076, 65907, 13200, 24074, 9131, 45730, 24067, 65904, 40250, 71752, 51743, 17225, 41119, 65906, 27091, 24078, 5775, 44732, 9138, 60471, 33768, 31803, 55961, 69913]","[2, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[0, 0, 3], [0, 3, 0], [0, 3, 0], [0, 2, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [0, 0, 3], [2, 1, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [0, 1, 2], [3, 0, 0], [3, 0, 0], [0, 1, 2], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
7,"diaper-magen with style, color and texture","[(2, 2, 1), (1, 1, 1), (0, 1, 2), (0, 0, 2), (0, 0, 1), (0, 0, 1), (0, 0, 0), (0, 1, 0), (0, 0, 2), (0, 0, 1), (0, 0, 0), (0, 1, 2), (0, 0, 2), (0, 0, 0), (0, 0, 0), (0, 2, 2), (0, 1, 2), (0, 0, 1), (0, 2, 1), (0, 1, 2), (0, 0, 1), (0, 2, 2), (0, 0, 1), (0, 0, 2), (0, 0, 1), (0, 0, 1), (0, 1, 2), (0, 0, 1), (0, 0, 1), (0, 1, 2)]","[37086, 28162, 64210, 64203, 50869, 16980, 48112, 46105, 27148, 54211, 56454, 50983, 69720, 56459, 54835, 47173, 26005, 59802, 1959, 34177, 59800, 6671, 2434, 54831, 50030, 63702, 18240, 26169, 68848, 65513]","[2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 3, 0, 3, 3, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]","[[0, 1, 2], [0, 3, 0], [1, 1, 1], [2, 0, 1], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [1, 1, 1], [2, 0, 1], [3, 0, 0], [3, 0, 0], [1, 0, 2], [1, 1, 1], [2, 1, 0], [1, 1, 1], [1, 1, 1], [2, 1, 0], [1, 0, 2], [2, 1, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [2, 1, 0], [1, 1, 1]]"
8,shopping app with item weight description,"[(0, 0, 0), (1, 0, 1), (0, 0, 1), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 2), (0, 1, 2), (0, 2, 0), (1, 0, 2), (2, 0, 2), (0, 0, 1), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (1, 1, 1), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 1, 0), (1, 0, 0), (0, 0, 0)]","[20618, 23925, 4186, 4183, 941, 69527, 8337, 47928, 35127, 30125, 25179, 8170, 123, 47934, 55532, 19345, 19347, 70143, 23918, 54992, 4188, 59836, 13407, 10423, 33929, 47931, 70149, 70137, 47930, 71578]","[0, 1, 0, 0, 0, 0, 0, 3, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 0, 1], [1, 1, 1], [2, 0, 1], [1, 1, 1], [1, 0, 2], [2, 1, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [0, 3, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0]]"
12,Hushed-Login this app......you enter a new world of foods,"[(1, 2, 1), (0, 1, 0), (0, 1, 0), (0, 0, 1), (1, 0, 1), (0, 1, 1), (1, 1, 1), (2, 0, 0), (1, 0, 0), (0, 0, 1), (2, 0, 1), (1, 0, 1), (0, 0, 1), (1, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (2, 0, 0), (2, 1, 0), (1, 0, 0), (2, 0, 0), (2, 0, 0), (1, 1, 0), (1, 0, 0), (1, 0, 0), (1, 1, 0), (1, 0, 0)]","[34202, 8365, 8346, 60614, 59825, 8363, 44868, 5147, 8339, 60613, 48533, 34390, 60611, 53883, 56659, 60609, 28243, 31693, 5254, 45636, 57016, 8347, 23432, 28001, 59843, 23431, 20714, 70145, 21435, 17024]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0]","[[0, 2, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0], [1, 2, 0], [1, 2, 0], [0, 3, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [1, 1, 1], [1, 2, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [1, 1, 1], [2, 1, 0], [2, 0, 1], [2, 0, 1], [1, 2, 0], [2, 1, 0], [2, 1, 0], [1, 2, 0], [2, 1, 0]]"
17,customer complaint service,"[(0, 2, 2), (2, 2, 2), (1, 1, 0), (2, 1, 0), (0, 0, 0), (2, 2, 1), (0, 1, 0), (1, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (2, 2, 2), (0, 0, 0), (1, 1, 1), (1, 2, 1), (0, 0, 0), (1, 2, 1), (1, 2, 2), (0, 1, 0), (1, 0, 2), (1, 1, 1), (0, 0, 0), (0, 2, 0), (0, 0, 1), (0, 0, 0), (1, 0, 1), (0, 0, 0), (0, 0, 0)]","[39347, 5122, 40885, 11092, 42698, 52031, 23501, 69330, 6942, 47843, 52028, 22829, 41171, 28822, 60454, 3453, 2779, 48522, 45328, 48828, 3521, 19154, 2646, 14466, 12072, 31332, 40239, 11090, 25226, 6930]","[2, 2, 1, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 2, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0]","[[1, 0, 2], [0, 0, 3], [1, 2, 0], [1, 1, 1], [3, 0, 0], [0, 1, 2], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [0, 3, 0], [0, 2, 1], [3, 0, 0], [0, 2, 1], [0, 1, 2], [2, 1, 0], [1, 1, 1], [0, 3, 0], [3, 0, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0]]"
19,UI for share and add location screen,"[(2, 2, 2), (0, 1, 0), (0, 0, 0), (0, 0, 0), (1, 1, 1), (0, 0, 0), (0, 0, 0), (1, 1, 2), (2, 2, 2), (0, 0, 0), (0, 1, 2), (0, 0, 0), (0, 0, 0), (0, 1, 2), (2, 0, 2), (2, 2, 1), (2, 2, 1), (0, 1, 0), (1, 2, 1), (0, 2, 0), (0, 2, 1), (0, 1, 0), (0, 2, 0), (0, 1, 0), (0, 1, 0), (0, 2, 0), (0, 1, 0), (1, 2, 2), (1, 2, 0), (0, 1, 2)]","[22076, 12355, 40348, 39237, 59781, 40346, 41623, 68076, 22080, 7653, 66288, 40349, 12162, 68095, 67073, 41625, 31522, 15312, 49233, 54405, 67072, 18958, 29931, 12167, 15505, 54388, 39571, 12147, 54377, 52054]","[2, 0, 0, 0, 1, 0, 0, 1, 2, 0, 3, 0, 0, 3, 2, 2, 2, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 3, 3]","[[0, 0, 3], [2, 1, 0], [3, 0, 0], [3, 0, 0], [0, 3, 0], [3, 0, 0], [3, 0, 0], [0, 2, 1], [0, 0, 3], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [1, 1, 1], [1, 0, 2], [0, 1, 2], [0, 1, 2], [2, 1, 0], [0, 2, 1], [2, 0, 1], [1, 1, 1], [2, 1, 0], [2, 0, 1], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [0, 1, 2], [1, 1, 1], [1, 1, 1]]"
20,my profile in Azar application,"[(2, 2, 1), (0, 2, 2), (0, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (1, 1, 0), (2, 2, 1), (2, 1, 1), (1, 0, 0), (2, 1, 0), (0, 0, 0), (0, 0, 0), (2, 1, 1), (0, 0, 0), (0, 2, 1), (2, 2, 1), (0, 2, 1), (0, 2, 0), (2, 2, 1), (1, 1, 1), (0, 1, 0), (2, 2, 1), (1, 1, 1), (0, 2, 0), (1, 2, 1), (0, 1, 0), (0, 2, 0), (2, 1, 1), (0, 1, 1)]","[69388, 69399, 69377, 69394, 69382, 69392, 69376, 69401, 69387, 45407, 69385, 51615, 61721, 69386, 19673, 15934, 69380, 19655, 10024, 69396, 50317, 30983, 69378, 19658, 16842, 69389, 61377, 64122, 69383, 5983]","[2, 2, 1, 1, 1, 1, 1, 2, 1, 0, 3, 0, 0, 1, 0, 3, 2, 3, 0, 2, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1]","[[0, 1, 2], [1, 0, 2], [1, 2, 0], [0, 2, 1], [0, 2, 1], [0, 2, 1], [1, 2, 0], [0, 1, 2], [0, 2, 1], [2, 1, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [0, 2, 1], [3, 0, 0], [1, 1, 1], [0, 1, 2], [1, 1, 1], [2, 0, 1], [0, 1, 2], [0, 3, 0], [2, 1, 0], [0, 1, 2], [0, 3, 0], [2, 0, 1], [0, 2, 1], [2, 1, 0], [2, 0, 1], [0, 2, 1], [1, 2, 0]]"
