Reward,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gui_index,Answer.summary,Approve,Reject
$0.05,1,600,1209600,,,33TIN5LC04AKNNRKFDHHFY4WOENY9I,A3NDKVYPTBWPEO,Approved,,,42,100% (21/21),100% (21/21),0% (0/0),3566,search  bar with notification and other options.,,
$0.05,1,600,1209600,,,3JBT3HLQF825K0HWSOFXFVDDZC9ZP5,AFWYEWB3W0ZSB,Approved,,,69,100% (21/21),100% (21/21),0% (0/0),33340,Review with description,,
$0.05,1,600,1209600,,,37C0GNLMHF3U7TUVLARRI33TGPA6D8,A1250SSIMRQ3JA,Approved,,,8,100% (17/17),100% (17/17),0% (0/0),35983,QRC + whatsApp,,
$0.05,1,600,1209600,,,3EICBYG644WWQW3O5XQ571QGHVHCJJ,A6KII16FVGPFF,Approved,,,50,100% (24/24),100% (24/24),0% (0/0),53473,home appliances,,
$0.05,1,600,1209600,,,3WAKVUDHUWGZSVJMQFM8YH7DX0OU74,A23IXWZNWDLTNT,Approved,,,27,100% (37/37),100% (37/37),0% (0/0),23185,learn english easily,,
$0.05,1,600,1209600,,,3B1NLC6UGZW5TJMR2WR8UOX7OMGGPY,A218PYL0KI07IO,Approved,,,17,100% (4/4),100% (4/4),0% (0/0),64,List of pages for anime add,,
$0.05,1,600,1209600,,,3BV8HQ2ZZW1W9MRJ100PS2VNVMD6A6,A6KII16FVGPFF,Approved,,,55,100% (24/24),100% (24/24),0% (0/0),52964,how can i change this settings?,,
$0.05,1,600,1209600,,,317HQ483I7SJMPG9C5EJBB5S3K6INV,A1JBSNWSI7VKQO,Approved,,,32,100% (20/20),100% (20/20),0% (0/0),45339,Different Language choice keypad,,
$0.05,1,600,1209600,,,3DI28L7YXAE4SD7YBZQUTPUX8QVE1B,A8PRJZR3J6UTF,Approved,,,38,100% (20/20),100% (20/20),0% (0/0),20618,shopping app with item weight description,,
$0.05,1,600,1209600,,,3G5F9DBFOPXWYZEY8EIPLGYQPATHVI,A3CR6XU8373Z2N,Approved,,,239,100% (17/17),100% (17/17),0% (0/0),3319,sports news,,
$0.05,1,600,1209600,,,3KGTPGBS6XLS6UMGK35D2QQ5MK32UX,A1QOJGSZEZXSE1,Approved,,,94,100% (21/21),100% (21/21),0% (0/0),59550,Share and Search button with Image and text overlay with description,,
$0.05,1,600,1209600,,,37QW5D2ZRGMNDWW1BFJEXGLKNN9S89,A36COHZCHGHYD3,Approved,,,24,100% (18/18),100% (18/18),0% (0/0),26689,Chat function,,
$0.05,1,600,1209600,,,3I2PTA7R3TUVVHJPS0RCSLFA0ZIKQV,A3NDKVYPTBWPEO,Approved,,,97,100% (21/21),100% (21/21),0% (0/0),46612,Search bar with attractive pictures as well as date and names,,
$0.05,1,600,1209600,,,3Y4W8Q93LZKFMJ9WMIZZUVJSXI0VDN,ASL3NA8PT15JU,Approved,,,41,100% (20/20),100% (20/20),0% (0/0),61328,play hangman,,
$0.05,1,600,1209600,,,32N49TQG3GIHOC6K288X4UBMCF3VAL,A1WH1CTOZHV7YR,Approved,,,112,100% (21/21),100% (21/21),0% (0/0),39559,gaming tickets with account manager,,
$0.05,1,600,1209600,,,3ZGVPD4G6TH3CSA395OHK5EAOFUZTA,A2TXLKAOJJ9BEK,Approved,,,24,100% (30/30),100% (30/30),0% (0/0),24825,menubar of realtor.com with features,,
$0.05,1,600,1209600,,,3R3YRB5GRF3HBXHKXIYS8893Y8UUAV,A20EIK9C477PTC,Approved,,,13,100% (21/21),100% (21/21),0% (0/0),43211,mind game,,
$0.05,1,600,1209600,,,39LNWE0K4UWWHF0I96Q5P6XMBGZIUN,A3AFAUMZ4AULZF,Approved,,,62,100% (27/27),100% (27/27),0% (0/0),57039,It should message if there is no internet,,
$0.05,1,600,1209600,,,378XPAWRUCDC26MK319EP5LS4D7IAB,A2G11CAPXX5616,Approved,,,141,100% (21/21),100% (21/21),0% (0/0),4413,UI for reminder notes,,
$0.05,1,600,1209600,,,3NS0A6KXC48Z7NOXP5PALMZLYLMGZI,A3CP44KT0KLT69,Approved,,,31,100% (21/21),100% (21/21),0% (0/0),31048,photo viewer,,
$0.05,1,600,1209600,,,36V4Q8R5ZK0QL5JSDC4S7Y7EP4DMQ2,A11LV5AT27LBFI,Approved,,,107,100% (15/15),100% (15/15),0% (0/0),58525,Good Query- well detailed info,,
$0.05,1,600,1209600,,,3A4TN5196KI0ZQ8YHXNKVOA143DHCJ,A23IXWZNWDLTNT,Approved,,,56,100% (37/37),100% (37/37),0% (0/0),33755,near  important places,,
$0.05,1,600,1209600,,,3K4J6M3CXETY6FGPDD9B4T8CP0FAGB,AV5170KNIBKL6,Approved,,,159,100% (21/21),100% (21/21),0% (0/0),5235,live breaking news video with another top stories article and video,,
$0.05,1,600,1209600,,,3EFVCAY5L39UETDBOLA05FUXR4X8JA,A1QOJGSZEZXSE1,Approved,,,40,100% (21/21),100% (21/21),0% (0/0),20607,Icon with card for title and description,,
$0.05,1,600,1209600,,,3R0T90IZ1SCMZUDNXR52AOY0P30CGF,A11LV5AT27LBFI,Approved,,,22,100% (15/15),100% (15/15),0% (0/0),48182,Good Query,,
$0.05,1,600,1209600,,,3GNCZX450IN4JS9OGWZYY2M4QR3APG,AE2M19TCQJWI,Approved,,,27,100% (30/30),100% (30/30),0% (0/0),68726,Colour pixel adjuster screen,,
$0.05,1,600,1209600,,,3IHR8NYAM71PH3T77VP7LZ04YH6P4J,A1250SSIMRQ3JA,Approved,,,18,100% (17/17),100% (17/17),0% (0/0),32448,Genesis + Book + Android,,
$0.05,1,600,1209600,,,3OCHAWUVGOKF4EK1EEM4MTB3X25KXS,A27GOFWHEHV758,Approved,,,78,100% (22/22),100% (22/22),0% (0/0),41022,icons of signs,,
$0.05,1,600,1209600,,,3MHW492WW0DIQDF9ZBY2DL6M6WSVM5,A12EE9K9VY7XXF,Approved,,,36,100% (28/28),100% (28/28),0% (0/0),6622,List of states and a menu,,
$0.05,1,600,1209600,,,3L70J4KAZGMVUV6YBN83Y85FC8ZDA4,A3CP44KT0KLT69,Approved,,,53,100% (21/21),100% (21/21),0% (0/0),40921,overview of terms and conditions,,
$0.05,1,600,1209600,,,3JC6VJ2SABJ0QIR5WHQK0WHNZR25AP,A13HTFAO25P3U4,Approved,,,65,100% (14/14),100% (14/14),0% (0/0),55010,User account side bar,,
$0.05,1,600,1209600,,,39GXDJN2OTE35OD55AOJ835RMR3V8H,AFWYEWB3W0ZSB,Approved,,,113,100% (21/21),100% (21/21),0% (0/0),61954,search bar with  list of application with its image,,
$0.05,1,600,1209600,,,3U84XHCDICDJV7VDU4N9CX2I8GDZ4E,A2G11CAPXX5616,Approved,,,127,100% (21/21),100% (21/21),0% (0/0),70252,Translation page with UI,,
$0.05,1,600,1209600,,,3UXUOQ9OKEXFDM5OKA5HYGVJQXW7A5,A23IXWZNWDLTNT,Approved,,,126,100% (37/37),100% (37/37),0% (0/0),11671,Top stories in different fields,,
$0.05,1,600,1209600,,,3NKQQ8O39Y5F94KWHSPUY9H9JBRUDX,A1WH1CTOZHV7YR,Approved,,,62,100% (21/21),100% (21/21),0% (0/0),45876,language selection overview,,
$0.05,1,600,1209600,,,39L1G8WVWQR1IFR1MF9YAYQ0H15137,A3IP4RARMM3X4A,Approved,,,66,100% (17/17),100% (17/17),0% (0/0),35003,Tornament statistics,,
$0.05,1,600,1209600,,,317HQ483I7SJMPG9C5EJBB5S3K6NI0,A20EIK9C477PTC,Approved,,,11,100% (21/21),100% (21/21),0% (0/0),9332,bookmark,,
$0.05,1,600,1209600,,,3F6KKYWMNB12EE0NKRD8KEPFBFYNDY,A20EIK9C477PTC,Approved,,,10,100% (21/21),100% (21/21),0% (0/0),70176,profile page,,
$0.05,1,600,1209600,,,3X4MXAO0BGOM2IS6UTZFLMJAJSTWR4,A373WQWN0DADNL,Approved,,,102,100% (21/21),100% (21/21),0% (0/0),24934,"query: more options to select other ringtones, bad query: more ad, Explain: more advertisement",,
$0.05,1,600,1209600,,,34PGFRQONOB54U9TMOQ6JVXJ9B0JW0,A26BOJ0O91EIBR,Approved,,,178,100% (21/21),100% (21/21),0% (0/0),9175,Locating with search and location using google map,,
$0.05,1,600,1209600,,,333U7HK6I9F6VO925TLGR78Y2VUDJL,A2NA5304C0C5FQ,Approved,,,143,100% (13/13),100% (13/13),0% (0/0),9903,List of instructions related to alerts and notifications and related settings,,
$0.05,1,600,1209600,,,3R0T90IZ1SCMZUDNXR52AOY0P30GCJ,A1250SSIMRQ3JA,Approved,,,34,100% (17/17),100% (17/17),0% (0/0),68509,Fitness,,
$0.05,1,600,1209600,,,3DHE4R9OCWB91CLL0YGWYBPEDCNG2A,A1NW9UWTFS14S5,Approved,,,13,100% (28/28),100% (28/28),0% (0/0),3709,Option to select device,,
$0.05,1,600,1209600,,,3W92K5RLWUHKI6U37CHGWJV0K135VQ,ASL3NA8PT15JU,Approved,,,20,100% (20/20),100% (20/20),0% (0/0),56817,gallery pictures and videos,,
$0.05,1,600,1209600,,,3VAR3R6G1P18F4484Y25DBBJQY78OT,A1JBSNWSI7VKQO,Approved,,,20,100% (20/20),100% (20/20),0% (0/0),26649,app to show your bank balance is low or not,,
$0.05,1,600,1209600,,,3ZWFC4W1UU7KRW6B44PFHYXAOP3RF1,A3G2CWQ5OV8AHE,Approved,,,68,100% (19/19),100% (19/19),0% (0/0),60654,religious psalms and advertisement,,
$0.05,1,600,1209600,,,308XBLVESI4UEFUVZ23JY86P9RBRBJ,A1QOJGSZEZXSE1,Approved,,,129,100% (21/21),100% (21/21),0% (0/0),17175,"Filter Nav bar with Search icon, Cart, product name, product image, product rating and Menu",,
$0.05,1,600,1209600,,,3A4TN5196KI0ZQ8YHXNKVOA143DCHE,AE2M19TCQJWI,Approved,,,49,100% (30/30),100% (30/30),0% (0/0),25220,Playing Featured Music,,
$0.05,1,600,1209600,,,3L0KT67Y8EG2S2NJOJH8WT9MG2CYST,A34Z73OAWYW014,Approved,,,22,100% (31/31),100% (31/31),0% (0/0),29061,Post results with postings,,
$0.05,1,600,1209600,,,3WS1NTTKEYCWR2MCAR60X2WNFZ40FC,A3NDKVYPTBWPEO,Approved,,,36,100% (21/21),100% (21/21),0% (0/0),23210,search bar with list of items in the application,,
$0.05,1,600,1209600,,,3X4MXAO0BGOM2IS6UTZFLMJAJSTRWZ,A3AFAUMZ4AULZF,Approved,,,107,100% (27/27),100% (27/27),0% (0/0),30819,When user click save option then it should change color and show option to unsave.,,
