id,query,gui_index_1,gui_index_2,gui_index_3,gui_index_4,gui_index_5,gui_index_6,gui_index_7,gui_index_8,gui_index_9,gui_index_10,gui_index_11,gui_index_12,gui_index_13,gui_index_14,gui_index_15
386,web brower with list,16227,1093,34244,1187,1092,66247,291,25697,7828,20339,3146,1198,21855,21,45255
219,Tabs layout preview,22974,69119,49456,20057,64516,22596,69708,47663,22591,13306,28581,35897,35333,68119,19983
34,healthcare pulse app,25921,60471,36730,35344,42342,26820,26392,62246,26819,36956,65882,26816,63642,31032,15897
266,contact details form,48069,13359,40736,66701,66315,3372,65494,25713,17044,66228,2837,25116,6861,15513,46777
57,Navigation app with setting location and destination,52332,1105,9716,36229,8954,9733,36225,31409,9718,34251,48293,68160,34256,50263,36177
190,trending page,59599,41406,50095,55713,43752,65007,29783,33055,13923,55715,41402,43663,13879,33043,65015
384,Sidebar with homepage and other options,69790,37797,3573,3576,37795,3577,55490,36460,55493,60645,30733,55494,55492,30942,30941
149,Spanish news with figuers and search option,58638,21463,19704,58974,21948,19707,32229,21949,34569,25018,21946,67673,59619,4661,49336
192,side panel with share and settings,64805,16246,5803,50505,16250,69142,69146,16247,68962,8684,16249,58148,4825,16242,39596
101,Setting screen of a time planer,48465,27956,68160,43706,27957,36177,65308,65804,52329,54057,49273,39131,15362,28512,1086
122,Customer support notofication page,3232,69330,40885,11092,2779,26475,5122,17569,6942,47843,48828,35568,23501,13320,66160
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List",57640,51849,15888,23206,55466,46794,23212,33170,46814,48018,12318,46799,16825,45736,62141
59,dictionary page  with words shown,27349,61344,45665,61345,61318,61333,61348,61335,35226,61339,25592,71902,71905,61322,35235
367,complete your melody,46619,63188,36136,50056,38103,30405,38102,32194,32190,20953,52112,43202,20331,70783,43860
93,the latest updates of football matches,35010,53555,630,43109,13984,40792,2589,13752,6661,17810,43108,69382,56084,183,65346
238,2D model of solunar clock,54641,54642,24037,31838,54643,30037,29683,45159,24048,31205,24042,24027,44683,3856,30607
177,arabican news overview with articles,52520,22059,8522,27544,68523,55542,48754,52513,10428,67984,68520,55540,44253,36615,5907
289,Timer with play button,32372,8150,11490,11489,3533,18992,47249,33084,18991,12654,60376,17912,63066,69747,63069
144,short tutorial and instructions for a game with option to go back to previous menu,33529,71255,48403,65142,39192,8143,71261,10672,42136,19838,10681,5948,57909,39196,5937
352,calculator,67804,20594,20602,49397,67409,46604,8899,13351,35283,61050,34179,16992,18384,34181,16993
449,starting screen of Amino,48492,70183,28260,10276,41430,53935,22507,22505,10273,20983,22513,34169,48501,47327,24606
272,learning and play piano online,47226,32132,35079,71074,31170,21024,50420,32139,14553,46782,60473,39477,21909,19219,60569
363,weather notification with toggle button,16844,70635,61170,6423,70626,54917,70777,28497,28698,12865,71513,40490,63601,6416,841
222,settings and options in a Gym App,1009,29156,39830,54112,10615,2274,70918,62882,2270,24346,62276,45959,20096,29162,45956
79,Buy atlanta falcons jersey,23362,23360,25059,49903,23355,17533,17522,23356,17386,25062,7591,25063,7593,17398,62503
264,Web ad for an children learning app,55867,60469,39477,11416,59237,31170,69934,37400,60569,47756,39478,28365,14878,41539,35826
369,my playlist,71956,58693,45113,10940,50232,5209,55481,53826,53824,66163,14672,34334,2119,52900,70552
92,show map,51065,71036,52816,52817,70527,12687,4218,64043,7084,66555,71034,70756,13257,16898,60544
351,snapchat startup interface with login and sign up options,16082,16084,36266,18535,1884,10942,69839,16202,5817,13921,40003,57081,10894,29509,22114
274,accounting software with excel file output format,35396,31179,54509,10139,51541,54510,43697,18627,54511,18606,63716,54508,31034,40362,54739
204,Startup screen with login & sign up options and a logo,53946,69839,36266,18535,39909,10942,16269,10625,22114,53273,41109,5817,13921,16202,57081
250,settings to adjust,6007,65783,22351,32842,549,11371,21592,35185,49765,50593,62611,68134,9222,12252,23599
300,a panel app window with its points,25084,65150,56420,30837,25088,19585,30855,59454,53258,29111,30838,44236,36620,25086,18289
197,expense manager,48868,67408,67397,36872,67410,35873,12883,67407,12876,12860,67405,16823,12873,12877,8463
125,Months of a year from January to November with a radio button to choose,15298,28181,9559,68559,58891,59581,56733,54,71521,57327,42782,42781,22588,18499,25408
88,informative list contents,53447,1870,49771,65532,45105,1867,34388,65529,49766,65523,65528,65522,55590,70936,21223
417,Gallery app with thumbnails overview,45705,57259,8522,5161,48754,55542,57709,33717,10428,57719,24047,17806,57714,5683,6964
136,A guy picture on a social network,46313,18442,31184,16391,18443,31183,34410,18432,69105,46286,34414,44847,17848,51001,618
319,page that display the questions  with options,30849,56520,4500,50275,37796,7518,59469,64744,50286,59478,66489,4505,59473,37795,7519
454,Advertisment of FedEx,28977,57903,57904,57901,57899,57900,57897,57907,57898,10569,39664,64610,45256,68629,33753
47,Fashion dressing ideas with image overview,9800,9797,9802,9798,9799,8522,55542,15739,56782,10428,62619,28568,55540,31044,56785
29,search bar with list of computer accessories categories,50895,24158,48074,66328,38404,64303,15865,38388,64305,66325,27118,22645,1148,22733,56623
90,Menstrual calendar with body temperature,28339,14252,22876,36575,42316,14248,16983,60084,65193,22879,59590,33572,16986,59134,35133
26,Genesis + Book + Android,32448,62592,45340,43288,27400,63039,22200,29549,40933,22202,11820,40924,3909,11815,40929
75,best food recipes,45732,29116,70329,21272,14275,8167,8047,29119,40847,56496,65091,13727,56509,68771,60609
5,Selection of Doctor's Specialization,34401,24069,24079,2847,65902,65898,24076,65907,13200,24074,9131,45730,24067,65904,40250
298,music,1506,58956,3351,58946,58945,70547,3352,15479,70546,47865,58955,70544,70533,53793,70539
384,Product description and shipping information,4151,19446,2097,30790,5128,4621,30794,23922,61478,4143,61473,55624,20518,61474,61475
63,"option bar, multiple preview of data",23868,49872,19704,18491,31125,19707,22109,36472,34569,64639,68851,67673,30729,22561,49456
179,"tourist app, discover world places, countries and cities",5728,21671,46531,35839,26253,63273,9717,26245,5729,9718,26257,2794,53349,44295,54071
36,bookmark,9332,61381,41408,57786,38945,37308,23769,2471,60130,2474,54010,11951,64925,224,41414
272,add location by pinning the place,17342,53393,30809,40686,1469,43558,10610,9914,61696,18975,43461,61692,45909,64888,28150
