Reward,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gui_index,Answer.summary,Approve,Reject
$0.05,1,600,1209600,,,304SM51WA346FUU8ER3OOIBLVTUBSR,A12EE9K9VY7XXF,Approved,,,36,100% (28/28),100% (28/28),0% (0/0),30993,"Vehicle registration with plate number, code and owner's ID",,
$0.05,1,600,1209600,,,34MAJL3QP4NIAEOK9XS08WX3TLE34L,A12EE9K9VY7XXF,Approved,,,56,100% (28/28),100% (28/28),0% (0/0),17136,Information screen for open source licenses,,
$0.05,1,600,1209600,,,3L4PIM1GQTGQRNN69UH36J4QU0TRYY,AE2M19TCQJWI,Approved,,,50,100% (30/30),100% (30/30),0% (0/0),33914,OneScan to Scan and search a product online,,
$0.05,1,600,1209600,,,308XBLVESI4UEFUVZ23JY86P9RBBR3,A2G11CAPXX5616,Approved,,,250,100% (21/21),100% (21/21),0% (0/0),25117,list of data with image and details,,
$0.05,1,600,1209600,,,3G5W44VEU7I4ISPBP4M0Y7B8UC9GKW,A11B0Q26E3U79M,Approved,,,36,100% (20/20),100% (20/20),0% (0/0),62586,screen of a task manager showing open tasks of the mobile phone,,
$0.05,1,600,1209600,,,3L6L49WXW0XLOTBONGGTNTVN7H545C,AE2M19TCQJWI,Approved,,,65,100% (30/30),100% (30/30),0% (0/0),34401,Selection of Doctor's Specialization,,
$0.05,1,600,1209600,,,36WLNQG78ZA55BPQDWJJZ176U2LBEQ,A1FV1XP2UU0EVH,Approved,,,33,100% (40/40),100% (40/40),0% (0/0),68694,Main screen,,
$0.05,1,600,1209600,,,35USIKEBNRG3T5L8A45UE8FNUTB6NP,A2TXLKAOJJ9BEK,Approved,,,51,100% (30/30),100% (30/30),0% (0/0),37086,"diaper-magen with style, color and texture",,
$0.05,1,600,1209600,,,3E7TUJ2EGCMHPCWTJHU32DUV6QHD9P,A12EE9K9VY7XXF,Approved,,,45,100% (28/28),100% (28/28),0% (0/0),51947,Login with organitzation address and password,,
$0.05,1,600,1209600,,,388U7OUMF71TUSRL1M6UERA6INE0R6,A2KNN0T650FQ01,Approved,,,38,100% (21/21),100% (21/21),0% (0/0),28141,learning app,,
$0.05,1,600,1209600,,,3IUZPWIU1O70FEFB49QIKAXWO0YWKA,A2KNN0T650FQ01,Approved,,,16,100% (21/21),100% (21/21),0% (0/0),18726,us immigration news,,
$0.05,1,600,1209600,,,3QJOXOW4XJR1O2TN4L9SDHI061PEMI,A1R6ELRI4GR9XF,Approved,,,67,100% (25/25),100% (25/25),0% (0/0),2380,information screen with get started button,,
$0.05,1,600,1209600,,,3QUO65DNQUO6D1BL713A93T8NPYOUO,A3HN5JOPRIKMNU,Approved,,,107,100% (26/26),100% (26/26),0% (0/0),71586,Dropdown options in ascending order,,
$0.05,1,600,1209600,,,3QHK8ZVMIMIJBHZIUI6NCWXQ3ZMLBN,A34Z73OAWYW014,Approved,,,27,100% (31/31),100% (31/31),0% (0/0),40256,Favorite category with no result,,
$0.05,1,600,1209600,,,324G5B4FB38JC976S88O9AJ6HBL078,A3CUDF4JR3QTS4,Approved,,,66,100% (21/21),100% (21/21),0% (0/0),53764,event scheduler,,
$0.05,1,600,1209600,,,3I02618YA06OY1NMM1GPY3YYXUUPU6,A1UOWWUH9WVUOH,Approved,,,86,100% (22/22),100% (22/22),0% (0/0),18297,prompt to add a suite to  Wishlist,,
$0.05,1,600,1209600,,,3SEPORI8WNZYXWBU35X0P0OI0Q9ZAP,A36COHZCHGHYD3,Approved,,,87,100% (18/18),100% (18/18),0% (0/0),53750,"Menu bar with entries like sign in, your places, your timeline, your contributions, start driving, offline areas and explore",,
$0.05,1,600,1209600,,,3OXV7EAXLEQWP1SYSLLF5UHHPCK366,A2KNN0T650FQ01,Approved,,,19,100% (21/21),100% (21/21),0% (0/0),39347,customer complaint service,,
$0.05,1,600,1209600,,,336KAV9KYQS9N36LU4225BWII8D2YU,A1WH1CTOZHV7YR,Approved,,,432,100% (21/21),100% (21/21),0% (0/0),52272,side navigation bar with upload and code entry and profile settings,,
$0.05,1,600,1209600,,,3DY4FPOOA1O9NTS14JUJZK0WCJRVRT,A2G11CAPXX5616,Approved,,,55,100% (21/21),100% (21/21),0% (0/0),22076,UI for share and add location screen,,
$0.05,1,600,1209600,,,37ZHEEHM6WMFT163BVQ7B8HDKN3738,A1V8T0ZHN29U5H,Approved,,,28,100% (12/12),100% (12/12),0% (0/0),49632,appcrawler2 change password,,
$0.05,1,600,1209600,,,3GDTJDAPVUBKF1JWRINSL7MEVYRM8R,A1CLIAQI9N8YOJ,Approved,,,42,100% (22/22),100% (22/22),0% (0/0),34872,app for cooking recipes,,
$0.05,1,600,1209600,,,3EFE17QCRC5G67XUEJDKATEJQ6ZHSD,A1R6ELRI4GR9XF,Approved,,,100,100% (25/25),100% (25/25),0% (0/0),62479,search bar with love quotes and favorite,,
$0.05,1,600,1209600,,,3TU5ZICBRD1B0GHOJBU92G6J5ZO8Q0,A11B0Q26E3U79M,Approved,,,50,100% (20/20),100% (20/20),0% (0/0),49331,Information screen to add a tabatas in a tabatas list app,,
$0.05,1,600,1209600,,,338JKRMM26ZC6BB0XJRTPTKD40TAHB,AV5170KNIBKL6,Approved,,,8,100% (21/21),100% (21/21),0% (0/0),31374,top 10 news  video and article,,
$0.05,1,600,1209600,,,3AMW0RGHOD2B3B3DP043K864PY1PNE,AE2M19TCQJWI,Approved,,,21,100% (30/30),100% (30/30),0% (0/0),44034,List of favourite music albums,,
$0.05,1,600,1209600,,,3FTOP5WARFOCW488THXLC0OF86K0JE,A2NA5304C0C5FQ,Approved,,,577,100% (13/13),100% (13/13),0% (0/0),52436,Android application typical notification window,,
$0.05,1,600,1209600,,,3Z2R0DQ0JHEBHYPUU3Q8Y8420W8E2R,A12EE9K9VY7XXF,Approved,,,129,100% (28/28),100% (28/28),0% (0/0),33826,Navigation Drawer,,
$0.05,1,600,1209600,,,3ZPPDN2SLVWMHIATFC5N8VCG62I9EE,A27GOFWHEHV758,Approved,,,107,100% (22/22),100% (22/22),0% (0/0),65741,low carbs shakes,,
$0.05,1,600,1209600,,,3QFUFYSY9YFDQQ4DTST295M0WBJ4FV,A1250SSIMRQ3JA,Approved,,,104,100% (17/17),100% (17/17),0% (0/0),4006,android + photo editor,,
$0.05,1,600,1209600,,,3YGXWBAF70H6NEK32Q311Z1XZYRC4S,A1NW9UWTFS14S5,Approved,,,24,100% (28/28),100% (28/28),0% (0/0),31055,List of english dramas,,
$0.05,1,600,1209600,,,3OLQQLKKNSPBNUN21OW0XPQJ27UJEJ,A1R6ELRI4GR9XF,Approved,,,33,100% (25/25),100% (25/25),0% (0/0),18917,loading screen to get current location,,
$0.05,1,600,1209600,,,3WT783CTPBHQ8D5CH5DO9D739Q8CBY,A11B0Q26E3U79M,Approved,,,33,100% (20/20),100% (20/20),0% (0/0),26099,Pop up share area of an online shop,,
$0.05,1,600,1209600,,,3IO1LGZLK9XIQYY442GBWBPS5YD864,A3NDKVYPTBWPEO,Approved,,,36,100% (21/21),100% (21/21),0% (0/0),56905,search bar with key words under specified categories.,,
$0.05,1,600,1209600,,,3MX2NQ3YC9UCMVZY7RIYK4SL0CA5XS,A2KNN0T650FQ01,Approved,,,16,100% (21/21),100% (21/21),0% (0/0),25921,healthcare pulse app,,
$0.05,1,600,1209600,,,320DUZ38G7M978JT7JMOXSBVFN9JG0,A3BXLWKSBUO002,Approved,,,33,100% (18/18),100% (18/18),0% (0/0),16641,Game directory information with some user information,,
$0.05,1,600,1209600,,,3TVSS0C0E10ZIX5YYI4AL1KS7DQWTH,A3HN5JOPRIKMNU,Approved,,,81,100% (26/26),100% (26/26),0% (0/0),56038,It should be have some button to popup this options,,
$0.05,1,600,1209600,,,3K2755HG5S3QQMN6M3UVC9G69OCDFH,A1CLIAQI9N8YOJ,Approved,,,43,100% (22/22),100% (22/22),0% (0/0),70903,App to manage contacts,,
$0.05,1,600,1209600,,,3YGXWBAF70H6NEK32Q311Z1XZYR4CK,A1CLIAQI9N8YOJ,Approved,,,42,100% (22/22),100% (22/22),0% (0/0),11465,Chinese app for handwriting and drawing,,
$0.05,1,600,1209600,,,3WQ3B2KGE8G6LAVE18O4SHOC5THB17,A1CLIAQI9N8YOJ,Approved,,,206,100% (22/22),100% (22/22),0% (0/0),10002,French appl for traffic stations,,
$0.05,1,600,1209600,,,3BV8HQ2ZZW1W9MRJ100PS2VNVMCA69,A8BH4CXKWP6PW,Approved,,,200,100% (21/21),100% (21/21),0% (0/0),7762,Most demanded news and article,,
$0.05,1,600,1209600,,,3LBXNTKX0RVVNI1AAHVFWKXNM8T9XN,A1UOWWUH9WVUOH,Approved,,,60,100% (22/22),100% (22/22),0% (0/0),71288,sharing hair care tips through various mediums,,
$0.05,1,600,1209600,,,336YQZE83VE1SJ0UTKGP9NCNT8QM5P,A23IXWZNWDLTNT,Approved,,,33,100% (37/37),100% (37/37),0% (0/0),24661,find your life partner,,
$0.05,1,600,1209600,,,3IAEQB9FMEKS1891CS4VGX264R2DWF,A2KNN0T650FQ01,Approved,,,18,100% (21/21),100% (21/21),0% (0/0),42512,camera notification message,,
$0.05,1,600,1209600,,,3SITXWYCNV9EBBG7819BNQSDA8WBXZ,A1NFUUQF4T9KXM,Approved,,,33,100% (21/21),100% (21/21),0% (0/0),51152,ad example for scattered showers in store,,
$0.05,1,600,1209600,,,39DD6S19JPB1N9S6JAZMLJE9L56ZEJ,A2KNN0T650FQ01,Approved,,,16,100% (21/21),100% (21/21),0% (0/0),45861,login screen,,
$0.05,1,600,1209600,,,34YB12FSQYOZ8GPEAGZGDK3CJH4MG7,A8PRJZR3J6UTF,Approved,,,37,100% (20/20),100% (20/20),0% (0/0),24970,search bar with a picture drag and drop feature,,
$0.05,1,600,1209600,,,3N2BF7Y2VQUD8CKPUMHYYKFDYHHHM1,A27GOFWHEHV758,Approved,,,77,100% (22/22),100% (22/22),0% (0/0),53550,welcome screen of shopping app,,
$0.05,1,600,1209600,,,3Q8GYXHFEP2OJXO3GVMB6R7BZUMC5X,A8BH4CXKWP6PW,Approved,,,97,100% (21/21),100% (21/21),0% (0/0),41986,image view and preview of other image,,
$0.05,1,600,1209600,,,34HJIJKLP5W2MNQ3T7Y6RRPMK574VJ,AE2M19TCQJWI,Approved,,,39,100% (30/30),100% (30/30),0% (0/0),31772,Mobile Home Screen Background,,
$0.05,1,600,1209600,,,31T4R4OBOSG3612M4O184BL7Q0H7C7,A6KII16FVGPFF,Approved,,,76,100% (24/24),100% (24/24),0% (0/0),56164,today horoscope,,
$0.05,1,600,1209600,,,3BWI6RSP7G9I3ZM00F73UZLABCUE77,A11B0Q26E3U79M,Approved,,,41,100% (20/20),100% (20/20),0% (0/0),43530,Web advertising for online shop,,
$0.05,1,600,1209600,,,3DPNQGW4LLFH7XB2SZQYFZ9N3CG46S,A1R6ELRI4GR9XF,Approved,,,68,100% (25/25),100% (25/25),0% (0/0),55018,heart pictures overview,,
$0.05,1,600,1209600,,,30OG32W0SUB76KENGMOSQW70BRZNER,A8PRJZR3J6UTF,Approved,,,47,100% (20/20),100% (20/20),0% (0/0),58558,song review with lyrics,,
$0.05,1,600,1209600,,,39L1G8WVWQR1IFR1MF9YAYQ0H14318,A2KNN0T650FQ01,Approved,,,20,100% (21/21),100% (21/21),0% (0/0),41197,celebrity news,,
$0.05,1,600,1209600,,,358010RM5ETTKPEDDI0BO2MKD0CVXP,A1250SSIMRQ3JA,Approved,,,19,100% (17/17),100% (17/17),0% (0/0),26447,weather forecast,,
$0.05,1,600,1209600,,,3137ONMDKG51WSX1TIBX0CY3AFDGEC,A1FV1XP2UU0EVH,Approved,,,81,100% (40/40),100% (40/40),0% (0/0),15233,media management,,
$0.05,1,600,1209600,,,3I7DHKZYGN0VM98D7XCCEXSEW7F5F2,A11LV5AT27LBFI,Approved,,,40,100% (15/15),100% (15/15),0% (0/0),36536,Login with username and pasword,,
$0.05,1,600,1209600,,,3ZQIG0FLQEGEVP9N3D4PMJ8D4Y6WVX,A1P9OU1YPIQVW7,Approved,,,75,100% (7/7),100% (7/7),0% (0/0),35233,Image with no information,,
$0.05,1,600,1209600,,,3BF51CHDTVAG5YDI5HU00N80VEGH0Q,A3CR6XU8373Z2N,Approved,,,138,100% (17/17),100% (17/17),0% (0/0),39281,selecting different devices,,
$0.05,1,600,1209600,,,3UNH76FOCS5ZU7AE4MLMKKAGODUMY5,A1WH1CTOZHV7YR,Approved,,,63,100% (21/21),100% (21/21),0% (0/0),10135,page not found report with search bar and recent posts,,
