Reward,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.query,Input.gui_index_1,Input.gui_index_2,Input.gui_index_3,Input.gui_index_4,Input.gui_index_5,Input.gui_index_6,Input.gui_index_7,Input.gui_index_8,Input.gui_index_9,Input.gui_index_10,Input.gui_index_11,Input.gui_index_12,Input.gui_index_13,Input.gui_index_14,Input.gui_index_15,Answer.gui_1.0,Answer.gui_1.1,Answer.gui_1.2,Answer.gui_10.0,Answer.gui_10.1,Answer.gui_10.2,Answer.gui_11.0,Answer.gui_11.1,Answer.gui_11.2,Answer.gui_12.0,Answer.gui_12.1,Answer.gui_12.2,Answer.gui_13.0,Answer.gui_13.1,Answer.gui_13.2,Answer.gui_14.0,Answer.gui_14.1,Answer.gui_14.2,Answer.gui_15.0,Answer.gui_15.1,Answer.gui_15.2,Answer.gui_2.0,Answer.gui_2.1,Answer.gui_2.2,Answer.gui_3.0,Answer.gui_3.1,Answer.gui_3.2,Answer.gui_4.0,Answer.gui_4.1,Answer.gui_4.2,Answer.gui_5.0,Answer.gui_5.1,Answer.gui_5.2,Answer.gui_6.0,Answer.gui_6.1,Answer.gui_6.2,Answer.gui_7.0,Answer.gui_7.1,Answer.gui_7.2,Answer.gui_8.0,Answer.gui_8.1,Answer.gui_8.2,Answer.gui_9.0,Answer.gui_9.1,Answer.gui_9.2,Approve,Reject
$0.15,3,3600,1209600,,,3EG49X351UC85ZZCCAXC5SQSF1TX6T,AXXA481XH6FKE,Approved,,463,100% (120/120),100% (120/120),100% (120/120),412,Scientific Calculator Mobile Application,8899,8897,20602,20594,49397,67409,61050,8900,46604,61048,47998,35283,45827,8896,16992,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,,
$0.15,3,3600,1209600,,,3KIBXJ1WD5USA569DN4HWY4H4JXOKR,AYHIH9NTPYFLY,Submitted,,244,100% (1/1),100% (1/1),100% (1/1),412,Scientific Calculator Mobile Application,8899,8897,20602,20594,49397,67409,61050,8900,46604,61048,47998,35283,45827,8896,16992,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,true,false,true,false,,
$0.15,3,3600,1209600,,,3VA45EW49NNQ44KN5DYZRJ8IVGVO1S,A1PVNAXKDIW5K6,Submitted,,2394,0% (0/0),0% (0/0),0% (0/0),412,Scientific Calculator Mobile Application,8899,8897,20602,20594,49397,67409,61050,8900,46604,61048,47998,35283,45827,8896,16992,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,false,true,false,true,false,,
$0.15,3,3600,1209600,,,386CSBG1OZMOW2Y0QW2KBKUZIZZ6Q0,AXXA481XH6FKE,Approved,,3526,100% (120/120),100% (120/120),100% (120/120),190,trending page,59599,41406,50095,55713,43752,65007,29783,33055,13923,55715,41402,43663,13879,33043,65015,false,false,true,true,false,false,false,true,false,false,true,false,false,false,true,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3MHW492WW0DIQDF9ZB3B63QTP7AVM6,A1BG47GSHQ9WSU,Submitted,,73,0% (0/0),0% (0/0),0% (0/0),190,trending page,59599,41406,50095,55713,43752,65007,29783,33055,13923,55715,41402,43663,13879,33043,65015,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,true,false,true,false,false,false,true,false,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,,
$0.15,3,3600,1209600,,,3OSWBBLG1EX7Q8ERMX5QBY0KWGXXDO,A15ZDCM9T6FXH3,Submitted,,2035,0% (0/0),0% (0/0),0% (0/0),190,trending page,59599,41406,50095,55713,43752,65007,29783,33055,13923,55715,41402,43663,13879,33043,65015,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,true,false,,
$0.15,3,3600,1209600,,,3KIBXJ1WD5USA569DN4HWY4H4TFOKT,AFIK3VBMMX6G6,Approved,,339,100% (37/37),100% (37/37),100% (37/37),123,Tutorial for dog training,46851,46848,1829,68292,3836,3716,35540,3826,3712,47382,3838,5948,57909,3828,5941,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3O7L7BFSHEPFSJ3WJ6G9E6VQ8FWEI0,A33LIU53SVI55G,Submitted,,2152,0% (0/0),0% (0/0),0% (0/0),123,Tutorial for dog training,46851,46848,1829,68292,3836,3716,35540,3826,3712,47382,3838,5948,57909,3828,5941,false,false,true,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3U5JL4WY5K9UQCVYTM4X8U6EJAQX4B,AXXA481XH6FKE,Approved,,924,100% (120/120),100% (120/120),100% (120/120),123,Tutorial for dog training,46851,46848,1829,68292,3836,3716,35540,3826,3712,47382,3838,5948,57909,3828,5941,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,35H6S234SA0Z3GF264EHD9Z8M9U65H,AFIK3VBMMX6G6,Approved,,76,100% (37/37),100% (37/37),100% (37/37),417,Gallery app with thumbnails overview,45705,57259,8522,5161,48754,55542,57709,33717,10428,57719,24047,17806,57714,5683,6964,false,false,true,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3I02618YA06OY1NMM1LYRLI5GIPUPF,A33LIU53SVI55G,Submitted,,2116,0% (0/0),0% (0/0),0% (0/0),417,Gallery app with thumbnails overview,45705,57259,8522,5161,48754,55542,57709,33717,10428,57719,24047,17806,57714,5683,6964,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3VJ40NV2QINRDOWW7WI9XPRDNZLTO5,A1PVNAXKDIW5K6,Submitted,,2490,0% (0/0),0% (0/0),0% (0/0),417,Gallery app with thumbnails overview,45705,57259,8522,5161,48754,55542,57709,33717,10428,57719,24047,17806,57714,5683,6964,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,33JKGHPFYCU5I860XKHKWMWG3NZMN9,AXXA481XH6FKE,Submitted,,1141,100% (120/120),100% (120/120),100% (120/120),3,home appliances,53473,30791,1085,68770,48073,1087,52944,9286,67153,51323,9281,17689,3784,71129,66317,false,true,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,false,true,false,true,false,,
$0.15,3,3600,1209600,,,3P529IW9KYL9OYBYZKXSO48I1SRLF5,AFIK3VBMMX6G6,Approved,,167,100% (37/37),100% (37/37),100% (37/37),3,home appliances,53473,30791,1085,68770,48073,1087,52944,9286,67153,51323,9281,17689,3784,71129,66317,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,true,false,false,,
$0.15,3,3600,1209600,,,3PWWM24LHSYU8XF3H09HZGSN8VM28T,A22TLF121MRXT1,Approved,,58,100% (11/11),100% (11/11),100% (11/11),3,home appliances,53473,30791,1085,68770,48073,1087,52944,9286,67153,51323,9281,17689,3784,71129,66317,true,false,false,true,false,false,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,false,,
$0.15,3,3600,1209600,,,36H9ULYP62U3T8NYWZLF8PVQXW3FJ0,A15ZDCM9T6FXH3,Submitted,,1984,0% (0/0),0% (0/0),0% (0/0),457,Management,62831,1389,71743,10430,31741,10425,55535,55533,63783,24167,37986,8470,39770,18969,6855,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3SEPORI8WNZYXWBU3529II8PJE2ZAR,ARJ7XWSK0Y8FJ,Submitted,,2377,0% (0/0),0% (0/0),0% (0/0),457,Management,62831,1389,71743,10430,31741,10425,55535,55533,63783,24167,37986,8470,39770,18969,6855,false,false,true,false,true,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,true,false,false,true,,
$0.15,3,3600,1209600,,,3SKRO2GZ71R7EDZ87L66K2R9BAGK1X,A2AKNTBRMYZ95S,Submitted,,1587,0% (0/0),0% (0/0),0% (0/0),457,Management,62831,1389,71743,10430,31741,10425,55535,55533,63783,24167,37986,8470,39770,18969,6855,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3AMW0RGHOD2B3B3DP09CDQQB8SHPNF,AXXA481XH6FKE,Approved,,796,100% (120/120),100% (120/120),100% (120/120),346,search cellular locations,23326,24154,61364,5629,12745,173,15516,12751,40438,2707,43341,44453,38508,40440,43024,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3B3WTRP3DB2UM2YDMSFVZCNYS1429I,A22TLF121MRXT1,Approved,,102,100% (11/11),100% (11/11),100% (11/11),346,search cellular locations,23326,24154,61364,5629,12745,173,15516,12751,40438,2707,43341,44453,38508,40440,43024,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,,
$0.15,3,3600,1209600,,,3QUO65DNQUO6D1BL718J2LDF6DQOUP,A33LIU53SVI55G,Submitted,,2217,0% (0/0),0% (0/0),0% (0/0),346,search cellular locations,23326,24154,61364,5629,12745,173,15516,12751,40438,2707,43341,44453,38508,40440,43024,false,false,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,,
