id,query,ranked_guis
386,web brower with list,"[34244, 66247, 1187, 291, 7828, 1198, 45255, 16574, 26074, 64331, 41097, 26072, 21441, 25697, 36486, 24750, 788, 21783, 21855, 151, 51308, 54077, 23498, 146, 779, 64710, 68942, 22686, 54722, 20339, 16227]"
219,Tabs layout preview,"[49456, 22596, 22591, 35897, 13306, 69708, 19983, 19988, 20057, 19987, 69119, 28701, 67999, 35333, 35337, 31047, 25844, 36316, 28692, 21248, 847, 842, 36321, 20253, 35335, 47663, 31109, 6672, 47538, 35319, 22974]"
34,healthcare pulse app,"[36730, 42342, 26820, 26819, 26816, 15897, 26814, 63642, 31032, 62246, 31029, 42672, 42671, 63983, 63637, 26815, 63991, 35344, 10868, 60471, 44057, 31031, 42673, 9636, 11152, 43377, 62250, 63985, 65882, 62002, 25921]"
266,contact details form,"[13359, 40736, 3372, 17044, 66228, 25116, 46777, 49918, 59279, 15867, 25713, 6861, 11921, 65494, 15513, 15038, 15043, 25114, 29981, 2837, 25118, 59363, 48378, 64299, 64300, 13927, 36916, 2949, 8922, 30009, 48069]"
57,Navigation app with setting location and destination,"[9716, 1105, 9733, 9718, 68160, 36177, 52329, 43706, 36229, 36225, 65308, 65302, 1086, 65726, 8239, 12415, 49534, 4194, 37026, 39131, 61582, 54257, 5772, 12616, 38833, 8455, 36228, 39869, 30575, 30496, 52332]"
190,trending page,"[50095, 65007, 13923, 43663, 65015, 9161, 48240, 29710, 9154, 44708, 2131, 45116, 2144, 23574, 2139, 2134, 71632, 53442, 68321, 53438, 5311, 37665, 2142, 2151, 37681, 65008, 23569, 62116, 71631, 62117, 59599]"
384,Sidebar with homepage and other options,"[3573, 3576, 3577, 55493, 55494, 55492, 55490, 30733, 30942, 30941, 67559, 18457, 45615, 67553, 55491, 48902, 58241, 18455, 60645, 67561, 17073, 45735, 17057, 18458, 17819, 41355, 30944, 41684, 30463, 49061, 69790]"
149,Spanish news with figuers and search option,"[19704, 21463, 58974, 19707, 34569, 67673, 32229, 21949, 21948, 21946, 49336, 49332, 49344, 49338, 49335, 49334, 21880, 49333, 24375, 38513, 45394, 31172, 23116, 44605, 44603, 37720, 46190, 17475, 60209, 68388, 58638]"
192,side panel with share and settings,"[5803, 69142, 68962, 8684, 58148, 50505, 39596, 58146, 39600, 39603, 4825, 18042, 18891, 65975, 52733, 20721, 8691, 65403, 67254, 22107, 39604, 62857, 22104, 52739, 69146, 62850, 32053, 23928, 39595, 31379, 64805]"
101,Setting screen of a time planer,"[68160, 36177, 43706, 52329, 39131, 65308, 1086, 65302, 8239, 12415, 49534, 54257, 12616, 65726, 30575, 4194, 37026, 61582, 30496, 37135, 38833, 8455, 39869, 8240, 12257, 49539, 12412, 46468, 70060, 65728, 48465]"
122,Customer support notofication page,"[69330, 40885, 26475, 5122, 2779, 6942, 35568, 66160, 41171, 35572, 23501, 3521, 11320, 6930, 41618, 11092, 65007, 5005, 35823, 42698, 14474, 52031, 47422, 13320, 32310, 10848, 32307, 11090, 44321, 6914, 3232]"
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List","[15888, 46794, 46814, 46799, 62141, 23579, 16, 53541, 20783, 53547, 53543, 53542, 46801, 61404, 43889, 47351, 53548, 53546, 57648, 61410, 47347, 45731, 43880, 57640, 26904, 59455, 13556, 23206, 42185, 20506, 57640]"
59,dictionary page  with words shown,"[61344, 45665, 61345, 61318, 61333, 35226, 71902, 61348, 35235, 28511, 61322, 71905, 28481, 61340, 27413, 18467, 27410, 71904, 8890, 60012, 71913, 71907, 71908, 61327, 61347, 29773, 61315, 60009, 25592, 56660, 27349]"
367,complete your melody,"[36136, 30405, 32190, 32194, 43202, 43860, 13799, 2071, 69703, 32262, 38103, 39255, 38102, 63188, 1947, 13307, 31118, 52112, 48972, 49339, 43206, 50697, 45975, 43209, 65833, 32270, 20953, 36106, 41725, 11218, 46619]"
93,the latest updates of football matches,"[53555, 630, 40792, 6661, 69382, 65346, 43109, 33805, 183, 19621, 8192, 20858, 13984, 199, 1054, 19609, 64157, 18565, 2317, 2314, 19619, 9602, 13752, 42736, 52831, 43662, 27620, 43108, 644, 36564, 35010]"
238,2D model of solunar clock,"[54642, 54641, 24037, 30037, 45159, 24048, 24027, 31205, 30607, 44683, 67529, 3856, 47241, 68730, 47242, 47254, 40998, 24042, 29683, 1673, 24038, 24036, 38688, 17913, 23601, 54643, 31993, 31992, 31990, 1670, 54641]"
177,arabican news overview with articles,"[8522, 55542, 10428, 55540, 27544, 5907, 25989, 10777, 44253, 22059, 48754, 8214, 44256, 34318, 9553, 12033, 48736, 22381, 6798, 55539, 44257, 46169, 55534, 52513, 54133, 68523, 42852, 44059, 44805, 57054, 52520]"
289,Timer with play button,"[11490, 11489, 18992, 18991, 17912, 12654, 63069, 56799, 47249, 63066, 37256, 42781, 63601, 63599, 12865, 61236, 5854, 8499, 54493, 8539, 29177, 8401, 61167, 61610, 65909, 11258, 37257, 37262, 17487, 34482, 32372]"
144,short tutorial and instructions for a game with option to go back to previous menu,"[48403, 71255, 8143, 10672, 42136, 5948, 5937, 5941, 57909, 57146, 58017, 65142, 50994, 10681, 28029, 58005, 19704, 72175, 17235, 51000, 48312, 30408, 14674, 57149, 30403, 5935, 71260, 19697, 71414, 19707, 33529]"
352,calculator,"[20602, 20594, 67409, 49397, 46604, 35283, 16992, 8899, 16993, 34181, 34179, 16989, 13351, 13613, 16991, 14230, 61050, 39794, 18384, 60470, 13616, 18386, 24333, 10150, 18385, 13615, 16988, 16984, 29221, 20593, 67804]"
449,starting screen of Amino,"[28260, 10276, 53935, 22507, 10273, 20983, 22513, 22505, 41430, 34169, 48501, 48492, 47327, 24606, 59942, 41426, 119, 10274, 10648, 30211, 52920, 53946, 22514, 47338, 70526, 30216, 30209, 41427, 26586, 42272, 48492]"
272,learning and play piano online,"[35079, 31170, 21024, 14553, 39477, 60569, 28365, 35826, 35469, 54361, 58940, 11744, 39480, 39479, 19210, 33411, 42733, 60473, 56407, 57057, 21021, 14878, 1281, 33413, 42742, 35613, 42751, 47213, 48783, 22598, 47226]"
363,weather notification with toggle button,"[61170, 70635, 70626, 54917, 28698, 71513, 40490, 6423, 841, 54834, 63601, 21247, 65447, 63599, 12865, 61236, 70777, 6640, 32, 51276, 13490, 57963, 35, 28497, 13496, 6881, 25545, 61626, 29177, 61167, 16844]"
222,settings and options in a Gym App,"[29156, 39830, 54112, 2274, 10615, 2270, 62276, 45959, 62882, 45956, 32998, 32997, 2601, 66489, 18535, 45962, 51704, 65542, 12938, 33003, 37254, 59360, 54292, 38617, 29162, 599, 24828, 36132, 20422, 11152, 1009]"
79,Buy atlanta falcons jersey,"[25059, 17533, 17522, 23360, 17386, 23355, 23362, 23356, 25063, 62503, 32411, 19720, 54931, 66199, 49463, 43110, 17261, 8782, 48692, 7591, 45741, 39735, 12386, 56578, 33897, 12986, 64759, 17398, 40025, 24862, 23362]"
264,Web ad for an children learning app,"[39477, 31170, 60569, 28365, 35826, 35469, 37400, 54361, 58940, 1187, 11744, 39480, 39479, 1198, 34244, 19210, 66247, 60473, 291, 7828, 64361, 60469, 57057, 45255, 41097, 58275, 16574, 59237, 51774, 61299, 55867]"
369,my playlist,"[45113, 58693, 5209, 55481, 53826, 53824, 14672, 10940, 50232, 34334, 70552, 494, 50228, 55665, 52900, 504, 50233, 66163, 61926, 13389, 39095, 3905, 65682, 19603, 3896, 39089, 19607, 19601, 18221, 19608, 71956]"
92,show map,"[52816, 12687, 7084, 70756, 60544, 71036, 24475, 2754, 13259, 881, 49502, 13160, 61043, 48325, 62605, 70772, 24472, 2757, 49500, 230, 70776, 70782, 60543, 70781, 70779, 231, 70763, 70780, 70770, 71034, 51065]"
351,snapchat startup interface with login and sign up options,"[36266, 10942, 5817, 57081, 18535, 22114, 33411, 16202, 16084, 17834, 61301, 34308, 34307, 39913, 16269, 69839, 38933, 10624, 34162, 39920, 13921, 16241, 1911, 3971, 39919, 39909, 57919, 45555, 69548, 31096, 16082]"
274,accounting software with excel file output format,"[54509, 54510, 54511, 54508, 63716, 18627, 31179, 43697, 54739, 46842, 39446, 54738, 55963, 38564, 61049, 23983, 23988, 17896, 23981, 15458, 62231, 15453, 6213, 67971, 23612, 31167, 54379, 44197, 25581, 18781, 35396]"
204,Startup screen with login & sign up options and a logo,"[36266, 10942, 22114, 5817, 57081, 18535, 33411, 22111, 16202, 16269, 17834, 38933, 61301, 21042, 34308, 69839, 34307, 3971, 1911, 60313, 56674, 10624, 34162, 21040, 39909, 13921, 41109, 15962, 69548, 31096, 53946]"
250,settings to adjust,"[22351, 65783, 11371, 49765, 62611, 68134, 23599, 35066, 35185, 8878, 36988, 9236, 9231, 3929, 62887, 1380, 65791, 69162, 13555, 549, 51265, 1250, 36132, 41183, 1354, 37282, 33395, 12252, 53087, 41138, 6007]"
