id,query,ranked_guis
72,app for football team players overview with videos,"[46169, 39069, 6798, 46193, 55442, 55443, 56086, 17875, 31510, 17868, 46190, 31521, 31514, 31518, 52846, 17872, 52845, 52854, 31512, 56081, 70826, 54316, 19073, 5170, 70830, 8694, 68261, 53564, 10641, 19081, 5478]"
259,Call logs with no history,"[48375, 62527, 16135, 32378, 58722, 65325, 8628, 8627, 30594, 63860, 35058, 65809, 8629, 18956, 56686, 14117, 46722, 46731, 21479, 26653, 63857, 43079, 31808, 60019, 60418, 63862, 3372, 13668, 32380, 5501, 46731]"
297,page contain the searchbar for song,"[20119, 27042, 13677, 13682, 60642, 60646, 30636, 30629, 23055, 30628, 7355, 24136, 60643, 39091, 70393, 27596, 40934, 36523, 55480, 55483, 14448, 2112, 2113, 27043, 54771, 54773, 68996, 54772, 14454, 54782, 64908]"
392,expandable side menu,"[57646, 55726, 20873, 61704, 55729, 22725, 22727, 13142, 18291, 59930, 59605, 20872, 20869, 49343, 11236, 18296, 18281, 24072, 25626, 15135, 17711, 62657, 71643, 53871, 18278, 55728, 4853, 55731, 3078, 62663, 6565]"
142,Good restaurants for Valentine's day,"[60490, 56678, 60489, 24554, 43530, 52604, 58891, 51771, 47583, 3764, 3769, 3768, 24555, 20972, 7966, 21520, 42038, 42034, 60493, 24551, 3771, 3767, 59579, 3770, 36814, 49753, 21526, 48955, 38382, 48948, 60496]"
253,Events estimation,"[64803, 64948, 26736, 26737, 57891, 58890, 46802, 48531, 29658, 8826, 59822, 20149, 30084, 17198, 15945, 15685, 53767, 35975, 48521, 43868, 47575, 66433, 59833, 60779, 45436, 15068, 27379, 2012, 53090, 24820, 45130]"
39,French appl for traffic stations,"[43463, 57564, 69615, 31157, 31144, 15997, 61688, 69626, 34532, 7050, 69629, 69620, 29439, 39461, 29441, 15987, 34792, 62238, 44885, 62239, 7045, 37488, 48832, 22138, 1694, 24525, 68285, 34530, 56942, 56940, 10002]"
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class","[10978, 66998, 47972, 36207, 7008, 67241, 39809, 18835, 54865, 18828, 67237, 67245, 7606, 34010, 34025, 38999, 34027, 29323, 42358, 65960, 9740, 35350, 42357, 7608, 29317, 7597, 39816, 36091, 29356, 9726, 387]"
101,photo preview app with zoomIn zoomOut options,"[36024, 49337, 14760, 29467, 5847, 18795, 20273, 20276, 18796, 18799, 51574, 39331, 63481, 49104, 9188, 71020, 67531, 46652, 51702, 4683, 58193, 37763, 44991, 38359, 28884, 56689, 45144, 10621, 12781, 40119, 39626]"
176,List Item with Tab Color,"[6671, 62343, 60064, 57155, 1195, 57157, 52235, 1201, 15176, 34177, 47175, 15608, 1199, 64181, 15167, 31943, 31940, 31936, 37382, 65466, 33876, 39225, 1193, 60068, 64179, 22735, 58335, 2156, 338, 50983, 67394]"
309,"search bar with list of  connecters name ,favorites and all","[48966, 48964, 48970, 48965, 48972, 48971, 22334, 69275, 69257, 48968, 57769, 48962, 3615, 3618, 41762, 56670, 6710, 69265, 69261, 69278, 3066, 41764, 21770, 40453, 18218, 18219, 65594, 43092, 18293, 47772, 43096]"
439,login screen,"[18830, 3758, 52932, 59208, 18832, 14615, 26827, 50487, 21042, 38655, 42819, 21040, 64133, 58936, 47148, 3254, 37088, 17561, 141, 2216, 23181, 41916, 41917, 48855, 5466, 27869, 14989, 12231, 64136, 69107, 49706]"
53,"test article, options","[279, 37326, 37324, 5744, 9959, 9967, 42291, 61125, 41495, 48573, 48578, 3595, 21734, 41690, 21735, 39288, 52350, 39286, 52368, 45400, 45399, 48907, 56861, 1841, 45392, 1845, 16495, 16499, 48515, 26148, 46234]"
