id,query,ranked_guis
72,app for football team players overview with videos,"[40209, 7230, 40212, 7234, 40792, 56081, 8192, 56086, 31510, 43109, 23636, 19104, 25067, 43100, 33389, 63812, 39075, 6798, 2589, 46169, 40199, 23642, 42193, 70612, 17875, 33387, 42202, 361, 49896, 43103, 5478]"
259,Call logs with no history,"[62527, 16135, 48375, 41874, 30594, 41881, 69023, 61891, 58722, 47924, 43079, 47922, 26653, 26486, 46731, 22415, 32463, 22419, 60415, 67588, 8629, 4235, 21479, 61551, 34269, 60418, 65809, 10292, 14117, 35058, 46731]"
297,page contain the searchbar for song,"[55480, 55483, 70393, 14448, 71951, 54774, 54782, 47193, 32097, 27050, 54772, 27048, 54781, 14454, 27043, 54771, 27397, 27065, 30628, 50230, 9675, 63180, 14458, 2113, 2112, 71959, 30629, 9681, 23295, 23291, 64908]"
392,expandable side menu,"[22727, 22725, 30834, 4853, 24072, 71643, 24722, 55726, 49304, 55728, 20869, 30846, 20873, 20872, 59605, 26304, 15537, 39593, 39597, 18042, 18039, 18041, 18296, 30850, 22096, 55731, 4825, 8691, 8684, 66042, 6565]"
142,Good restaurants for Valentine's day,"[3764, 3771, 31899, 60493, 20765, 31902, 3885, 7895, 7882, 7872, 7889, 31895, 7896, 3888, 29391, 31896, 29384, 11246, 7897, 20766, 51771, 48951, 3767, 50086, 40358, 7898, 66329, 24745, 60835, 21520, 60496]"
253,Events estimation,"[64948, 64803, 40427, 15068, 44201, 17006, 26736, 47501, 15694, 15691, 48178, 57891, 57318, 26737, 15685, 15695, 30833, 15699, 46705, 44199, 46802, 5116, 30907, 49755, 55445, 60779, 55453, 61624, 38248, 29863, 45130]"
39,French appl for traffic stations,"[69629, 39334, 69626, 22138, 37488, 15997, 69619, 39348, 69615, 39338, 3188, 5112, 44885, 5111, 69620, 28202, 21426, 8532, 7050, 7045, 28196, 71964, 31157, 69631, 1529, 31144, 68285, 9999, 43363, 37483, 10002]"
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class","[36207, 57685, 49683, 36091, 54548, 2208, 9718, 9717, 9740, 19324, 60736, 49681, 49682, 9726, 66999, 49680, 10978, 39816, 54556, 3045, 49527, 3043, 65955, 3034, 9716, 39768, 39809, 33787, 42155, 1106, 387]"
101,photo preview app with zoomIn zoomOut options,"[34913, 69708, 13306, 20057, 36316, 31047, 36321, 31109, 49456, 58189, 36327, 28701, 28696, 36328, 36310, 17791, 58925, 28692, 25854, 17795, 22596, 43962, 14740, 22591, 58199, 847, 842, 597, 29474, 35333, 39626]"
176,List Item with Tab Color,"[26169, 64210, 50983, 64203, 57157, 69720, 33037, 1959, 1190, 55357, 42872, 1192, 63012, 67394, 6671, 65144, 55353, 1191, 63261, 1189, 54375, 44731, 48112, 18240, 50030, 44728, 20937, 65811, 44727, 64681, 67394]"
309,"search bar with list of  connecters name ,favorites and all","[23445, 56670, 3615, 59414, 22611, 14439, 62466, 54034, 3618, 30305, 64899, 57769, 59840, 56671, 28647, 64903, 27319, 59420, 5233, 63828, 60965, 10640, 29612, 17095, 46247, 60065, 49021, 27513, 50211, 23522, 43096]"
439,login screen,"[6309, 141, 69548, 6364, 31776, 20071, 30102, 16241, 29481, 35225, 140, 22542, 15939, 42005, 47741, 39998, 16667, 26097, 7937, 14259, 1552, 13921, 30879, 1911, 27758, 22253, 13107, 27869, 65674, 52522, 49706]"
53,"test article, options","[1562, 16502, 16503, 1558, 2850, 2856, 39287, 67984, 48907, 59466, 36171, 10809, 36173, 10803, 16495, 66368, 9967, 9959, 49910, 28862, 68886, 68882, 68871, 44777, 41497, 279, 48515, 41495, 49913, 52308, 46234]"
396,Womens sexual healthcare,"[3526, 55275, 36955, 42342, 60213, 60240, 60221, 57463, 23926, 4529, 2849, 34226, 12925, 50607, 11980, 69540, 23923, 2853, 10868, 10849, 4531, 60227, 16987, 13836, 49869, 30096, 10842, 10861, 53799, 4312, 22864]"
99,Sign-in with Facebook data in which name or email address included,"[33548, 42162, 45305, 45298, 34571, 53687, 45308, 12893, 36900, 12896, 58477, 3830, 52597, 25120, 43815, 20152, 35909, 10945, 12709, 4161, 68659, 69768, 4164, 28895, 41783, 36891, 42341, 12518, 29528, 33545, 36127]"
314,old facebook sign up page,"[47884, 25306, 69499, 45552, 9259, 69516, 69506, 45557, 26012, 7505, 26268, 1619, 52203, 69510, 69504, 45555, 51011, 18133, 7361, 9264, 49088, 33058, 7648, 28156, 41217, 20107, 50769, 70201, 20102, 43756, 50769]"
285,Text insert with keyboard,"[32634, 32633, 19767, 27553, 40558, 43040, 58594, 35658, 2176, 16919, 47712, 18567, 39737, 51571, 16917, 58980, 40448, 68757, 21136, 34261, 9607, 18566, 41887, 41835, 3570, 34563, 48541, 10138, 10159, 10143, 33506]"
154,Settings with regionbnews,"[9236, 48984, 9231, 1380, 33395, 36132, 13555, 51265, 58835, 1354, 39378, 9222, 18967, 41183, 2669, 9230, 54070, 9221, 56259, 43302, 30872, 12888, 24757, 27115, 58926, 27506, 35786, 9229, 48391, 6836, 49255]"
134,start screen,"[45674, 64142, 26827, 17743, 45676, 2314, 2317, 50477, 8734, 5518, 7601, 66699, 4527, 15769, 59618, 57697, 57698, 30167, 69107, 60550, 18143, 13114, 13103, 15767, 30164, 2331, 3758, 25349, 56805, 52932, 39774]"
353,Search icon with Menu and Chat Icon and advertisement,"[6210, 62683, 28421, 36557, 18160, 56809, 16050, 19303, 64833, 18140, 25662, 52282, 58968, 39585, 24772, 63048, 12422, 10164, 68128, 60615, 5840, 5842, 25863, 25860, 45902, 59578, 61992, 35080, 36320, 28705, 30371]"
82,sign up with email,"[47884, 26268, 25306, 24155, 20107, 35995, 34571, 7361, 28252, 45552, 3730, 7648, 68853, 38923, 16662, 11117, 39856, 45555, 62434, 15256, 64349, 50769, 45557, 65962, 23275, 63418, 20432, 33548, 4939, 54579, 31541]"
109,sign up with welcome Bonus,"[53432, 46962, 53421, 34729, 36003, 36001, 34716, 63918, 34739, 53258, 37905, 63932, 57558, 41205, 66116, 13705, 35776, 13707, 53779, 35772, 63920, 1851, 30604, 57578, 69828, 63931, 46430, 57648, 34223, 46428, 34735]"
16,It display the Map with search bar,"[25192, 25181, 58552, 46881, 25788, 60991, 7084, 66555, 66563, 48325, 52816, 28540, 25787, 50060, 60282, 61043, 51331, 6191, 50059, 65002, 68556, 50057, 24475, 881, 13259, 49502, 2754, 13160, 4419, 44338, 61599]"
115,page contaion the current and saved location,"[51326, 30041, 65199, 65207, 64982, 56462, 64992, 65198, 39001, 10668, 70406, 38400, 70417, 62134, 840, 24520, 28734, 25846, 38403, 34425, 20252, 66553, 28911, 25898, 27469, 45706, 28931, 24521, 51332, 55549, 58357]"
