id,query,gui_index
386,web brower with list,16227
219,Tabs layout preview,22974
34,healthcare pulse app,25921
266,contact details form,48069
57,Navigation app with setting location and destination,52332
190,trending page,59599
384,Sidebar with homepage and other options,69790
149,Spanish news with figuers and search option,58638
192,side panel with share and settings,64805
101,Setting screen of a time planer,48465
122,Customer support notofication page,3232
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List",57640
59,dictionary page  with words shown,27349
367,complete your melody,46619
93,the latest updates of football matches,35010
238,2D model of solunar clock,54641
177,arabican news overview with articles,52520
289,Timer with play button,32372
144,short tutorial and instructions for a game with option to go back to previous menu,33529
352,calculator,67804
449,starting screen of Amino,48492
272,learning and play piano online,47226
363,weather notification with toggle button,16844
222,settings and options in a Gym App,1009
79,Buy atlanta falcons jersey,23362
264,Web ad for an children learning app,55867
369,my playlist,71956
92,show map,51065
351,snapchat startup interface with login and sign up options,16082
274,accounting software with excel file output format,35396
204,Startup screen with login & sign up options and a logo,53946
250,settings to adjust,6007
300,a panel app window with its points,25084
197,expense manager,48868
125,Months of a year from January to November with a radio button to choose,15298
88,informative list contents,53447
417,Gallery app with thumbnails overview,45705
136,A guy picture on a social network,46313
319,page that display the questions  with options,30849
454,Advertisment of FedEx,28977
47,Fashion dressing ideas with image overview,9800
29,search bar with list of computer accessories categories,50895
90,Menstrual calendar with body temperature,28339
26,Genesis + Book + Android,32448
75,best food recipes,45732
5,Selection of Doctor's Specialization,34401
298,music,1506
384,Product description and shipping information,4151
63,"option bar, multiple preview of data",23868
179,"tourist app, discover world places, countries and cities",5728
36,bookmark,9332
272,add location by pinning the place,17342
168,"Expandable List item and Bottom Nav bar with Live, history, Stat, Check No. and More Items",26913
80,Information with detailed explanation text of fitness exercises and a corresponding graphic,42594
21,near  important places,33755
416,login page,54204
91,"weather details with temperature, pressure and relative humidity",682
164,Overview over own accounts and the amount of money on them,13111
1,application submission screen for successfully submitted application,53044
275,summery  of a questionnaire,41735
117,Media with no search results,32286
453,turkish car sales website,24320
8,shopping app with item weight description,20618
305,strike count threshold with disabling  feature and limits ranging from 1 to 50,62782
205,choise of interest,5725
85,open with notification with paly store or browser,28811
152,directory for saving contact information of various establishments,61559
260,Chinese salad recipes,6394
116,weight loss foods blog,68510
211,Libary list with the united states of america,39940
226,pop up ads,28890
49,Mobile Home Screen Background,31772
74,"Shop for Men's,Women's and Kids",34152
24,"create, search or download anime girls images",31677
54,celebrity news,41197
285,screen with sample movies and information on recording with SnapMovie,19996
365,Ui for user profile,34040
109,sports news overview,21660
3,home appliances,53473
7,"diaper-magen with style, color and texture",37086
187,File explorer with recently accessed image files sorted chronologically,52282
324,Sending Email to Selected Recipient's,40342
54,Information with sharing and saving option,53446
457,Management,62831
27,Navigation Drawer,33826
60,page not found report with search bar and recent posts,10135
126,android news website,13860
198,"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series",37235
462,"Menu bar with change platform, home, squad builder, consumables, tax calculator, TOTW and about",26337
32,Pop up share area of an online shop,26099
19,UI for share and add location screen,22076
221,pay screen for adding money into a paytm account,1102
68,Healthy Food options to add in daily Plan,30133
141,a screen with information about particular app,3951
12,Hushed-Login this app......you enter a new world of foods,34202
375,Using our advanced ovulation calculator online is the most reliable way of knowing your ovulation date,16992
203,flight preferences San Francisco to New York and search tickets button,2720
430,Period and fertility forecast with cycle length,15359
299,Map for atms,66118
321,audio editor with harmony function,27752
233,menu providing different buttons to change the settings and to get more information,68952
220,daily sport program,59557
65,AN android app,66756
456,zone with different area,62008
145,cars seller with location button,30614
17,customer complaint service,39347
194,login screen with email and password or via facebook or google,34164
155,option screen with user account,59841
349,cover page of book with author name,49770
128,create customized emoji,283
81,online dating,64832
22,stopwatch with timer,36635
20,my profile in Azar application,69388
341,"social app with ask me, gender, ask me, chat options",50317
423,"saving items with complete , complete this group manually or exit",43202
191,Product listing with main filter,28092
80,verify entered information before proceeding,34225
404,music instruments with highest reviews,36063
210,task scheduler app showing task handlers,33943
346,search cellular locations,23326
412,Scientific Calculator Mobile Application,8899
207,football match details with upcoming match information,10579
327,buying boats,15039
67,"A Social media app with options like chat, mute and Followers",11396
103,timetable with title and place,63425
55,choose thw word preferences,59124
156,"Read Qur‘an, Last read history, search specific parts,prayer time,settings",8904
292,displays the latest news in page,79
295,news,64920
2,"search bar with links ,articles and personal option",9370
119,music score chart with audio,2153
28,Weather details for city with option in Celsius and Fahrenheit,2768
123,Tutorial for dog training,46851
202,Music playlist,44035
359,a survery app with sinup and facebook login option,9551
50,"Delivery details input boxes for address and buttons for home, work or other",66919
240,online shopping app,69252
23,More options for user,65727
353,Vippi GUI sign up interface,38658
195,"Text (story) reading with formatting options, search functionality",27223
133,Login with radio button with calendar,22878
77,Location with location selected as current location,56197
108,books,14877
199,login with username and password,41866
381,Open the application using a password,12738
192,headlines tody,25862
143,Find friends,69561
299,Tiny Scanner,60292
236,search bar with serch list and home menus,16224
172,find your current location,42138
